Specification vs. Statistical Parameter Table :
Variance Contribution
param name, Average(Mag), off_Nominal, on_Nominal
Algorithm, , Quadratic, Quadratic
I0.TP2:mbeta, 0.192075, 0.130566, -0.253585
I0.TP2:mvth0, 0.0376634, 0.0678356, -0.00749124
I0.TP3:mbeta, 0.09624, -0.109367, -0.0831131
I0.TP3:mvth0, 0.218883, -0.214806, 0.222959
I0.TP4:mbeta, 0.137465, -0.0713891, -0.203541
I0.TP4:mvth0, 0.0908055, 0.0466727, -0.134938
I0.TP5:mbeta, 0.0356842, 0.0406977, 0.0306706
I0.TP5:mvth0, 0.0638314, -0.00121637, -0.126446
I0.TP6:mbeta, 0.163963, 0.186883, -0.141044
I0.TP6:mvth0, 0.748962, -1.17346, 0.324462
I0.TP7:mbeta, 0.0669854, -0.109921, 0.0240496
I0.TP7:mvth0, 0.186567, -0.182678, -0.190456
I0.TP8:mbeta, 0.100887, 0.0735089, -0.128264
I0.TP8:mvth0, 0.343506, 0.674332, -0.0126799

Input Normalized Regression
param name, Average(Mag), off_Nominal, on_Nominal
I0.C2:mmcap, 0.0129149, -0.0209722, 0.00485747
I0.C3:mmcap, 0.0411353, 0.0676892, -0.0145814
I0.C4:mmcap, 0.0170036, -0.0284124, -0.00559471
I0.TN0:mbeta, 0.0469395, 0.0780005, -0.0158784
I0.TN0:mvth0, 0.0187439, -0.00117944, 0.0363083
I0.TN13:mbeta, 0.0361732, -0.0576659, -0.0146806
I0.TN13:mvth0, 0.00955034, -0.000264358, -0.0188363
I0.TN14:mbeta, 0.0411885, -0.0087846, -0.0735924
I0.TN14:mvth0, 0.0282547, -0.041312, 0.0151974
I0.TN15:mbeta, 0.0109777, 0.00190291, -0.0200525
I0.TN15:mvth0, 0.0748009, 0.10388, 0.0457213
I0.TN16:mbeta, 0.00975267, 0.00912759, 0.0103777
I0.TN16:mvth0, 0.00727697, 0.0107737, -0.00378023
I0.TN3:mbeta, 0.0210914, -0.028159, -0.0140238
I0.TN3:mvth0, 0.152243, 0.248963, -0.0555234
I0.TN4:mbeta, 0.0225694, -0.0235291, -0.0216097
I0.TN4:mvth0, 0.0719074, -0.0272423, 0.116572
I0.TN5:mbeta, 0.0240255, 0.00803491, -0.0400161
I0.TN5:mvth0, 0.136232, -0.272294, -0.000170523
I0.TP10:mbeta, 0.0130124, 0.00799018, -0.0180347
I0.TP10:mvth0, 0.0275697, 0.0398777, -0.0152617
I0.TP1:mbeta, 0.0322934, 0.0460113, -0.0185756
I0.TP1:mvth0, 0.0288671, -0.0558578, 0.00187639
I0.TP2:mbeta, 0.0618376, 0.0420349, -0.0816403
I0.TP2:mvth0, 0.0124114, 0.0223542, -0.00246862
I0.TP3:mbeta, 0.0315641, -0.0358694, -0.0272588
I0.TP3:mvth0, 0.0699985, -0.0686949, 0.0713021
I0.TP4:mbeta, 0.0472003, -0.0245123, -0.0698884
