abs(i("/TP0/D" ?result "dc")) (sc=0.9) X,abs(i("/TP0/D" ?result "dc")) (sc=0.9) Y,abs(i("/TP0/D" ?result "dc")) (sc=1) X,abs(i("/TP0/D" ?result "dc")) (sc=1) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.1) X,abs(i("/TP0/D" ?result "dc")) (sc=1.1) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.2) X,abs(i("/TP0/D" ?result "dc")) (sc=1.2) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.3) X,abs(i("/TP0/D" ?result "dc")) (sc=1.3) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.4) X,abs(i("/TP0/D" ?result "dc")) (sc=1.4) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.5) X,abs(i("/TP0/D" ?result "dc")) (sc=1.5) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.6) X,abs(i("/TP0/D" ?result "dc")) (sc=1.6) Y,abs(i("/TP0/D" ?result "dc")) (sc=1.7) X,abs(i("/TP0/D" ?result "dc")) (sc=1.7) Y
-0.7,1.138828169031229e-05,-0.7,1.339146653255819e-05,-0.7,1.555482302911534e-05,-0.7,1.787980133100396e-05,-0.7,2.03688664144751e-05,-0.7,2.302576106497223e-05,-0.7,2.585583514556672e-05,-0.7,2.886647097315164e-05,-0.7,3.206763893578225e-05
-0.6499999999999999,8.787581577554402e-06,-0.6499999999999999,1.054850773023461e-05,-0.6499999999999999,1.247407202799747e-05,-0.6499999999999999,1.456591700143696e-05,-0.6499999999999999,1.682652388138165e-05,-0.6499999999999999,1.925946099437278e-05,-0.6499999999999999,2.186970379140011e-05,-0.6499999999999999,2.466405333397414e-05,-0.6499999999999999,2.765168565069293e-05
-0.5999999999999999,6.53467427971124e-06,-0.5999999999999999,8.047724635888638e-06,-0.5999999999999999,9.728016488930786e-06,-0.5999999999999999,1.157767732273927e-05,-0.5999999999999999,1.359946188157366e-05,-0.5999999999999999,1.579698648344717e-05,-0.5999999999999999,1.817503685613175e-05,-0.5999999999999999,2.073997726643701e-05,-0.5999999999999999,2.350029233754743e-05
-0.5499999999999998,4.637639465940029e-06,-0.5499999999999998,5.900743567098789e-06,-0.5499999999999998,7.331345845261503e-06,-0.5499999999999998,8.932381854985468e-06,-0.5499999999999998,1.070716572498239e-05,-0.5499999999999998,1.265961224826366e-05,-0.5499999999999998,1.479452810894497e-05,-0.5499999999999998,1.71180072016223e-05,-0.5499999999999998,1.963796278454148e-05
-0.4999999999999998,3.097835843074743e-06,-0.4999999999999998,4.11339854411876e-06,-0.4999999999999998,5.293829847132597e-06,-0.4999999999999998,6.643244153334027e-06,-0.4999999999999998,8.165833282898331e-06,-0.4999999999999998,9.866088631743519e-06,-0.4999999999999998,1.174907205231245e-05,-0.4999999999999998,1.3820790433709e-05,-0.4999999999999998,1.608871464043602e-05
-0.4499999999999998,1.908097626230818e-06,-0.4499999999999998,2.684072135725929e-06,-0.4499999999999998,3.618746474182694e-06,-0.4499999999999998,4.7178903517992e-06,-0.4499999999999998,5.986946137742589e-06,-0.4499999999999998,7.431295046878561e-06,-0.4499999999999998,9.056513442539454e-06,-0.4499999999999998,1.08687182109872e-05,-0.4499999999999998,1.287506645620286e-05
-0.3999999999999999,1.050513868223755e-06,-0.3999999999999999,1.601806317248434e-06,-0.3999999999999999,2.301150424712427e-06,-0.3999999999999999,3.15670992555879e-06,-0.3999999999999999,4.175678447128059e-06,-0.3999999999999999,5.364706191167629e-06,-0.3999999999999999,6.730181643606204e-06,-0.3999999999999999,8.278545450133224e-06,-0.3999999999999999,1.00167619726923e-05
-0.3499999999999999,4.932619024915505e-07,-0.3499999999999999,8.439322012613245e-07,-0.3499999999999999,1.325899597983881e-06,-0.3499999999999999,1.951059487588053e-06,-0.3499999999999999,2.729178819798384e-06,-0.3499999999999999,3.668716074845104e-06,-0.3499999999999999,4.777251445160798e-06,-0.3499999999999999,6.061799055091899e-06,-0.3499999999999999,7.529244110983853e-06
-0.2999999999999999,1.856941929543521e-07,-0.2999999999999999,3.725906492601536e-07,-0.2999999999999999,6.65119672111063e-07,-0.2999999999999999,1.081205599664272e-06,-0.2999999999999999,1.634717756430081e-06,-0.2999999999999999,2.336859594696082e-06,-0.2999999999999999,3.196985886680728e-06,-0.2999999999999999,4.223027860543521e-06,-0.2999999999999999,5.421916149964457e-06
-0.2499999999999999,5.385393955607742e-08,-0.2499999999999999,1.296117427625348e-07,-0.2499999999999999,2.744127707908061e-07,-0.2499999999999999,5.136125205983627e-07,-0.2499999999999999,8.675474761361193e-07,-0.2499999999999999,1.351910331290918e-06,-0.2499999999999999,1.978900810250246e-06,-0.2499999999999999,2.75795382515131e-06,-0.2499999999999999,3.696241172451997e-06
