abs(i("/TP1/D" ?result "dc")) (sm=0.1) X,abs(i("/TP1/D" ?result "dc")) (sm=0.1) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.2) X,abs(i("/TP1/D" ?result "dc")) (sm=0.2) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.3) X,abs(i("/TP1/D" ?result "dc")) (sm=0.3) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.4) X,abs(i("/TP1/D" ?result "dc")) (sm=0.4) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.5) X,abs(i("/TP1/D" ?result "dc")) (sm=0.5) Y
0.05,1.049334854712755e-11,0.05,1.055367344488028e-10,0.05,1.075106551321478e-09,0.05,1.000422044125233e-08,0.05,7.044265146896347e-08
0.1,5.636142433501672e-11,0.1,5.673493994437125e-10,0.1,5.703010420515881e-09,0.1,4.766709273872412e-08,0.1,2.474618552363526e-07
0.15,2.732775630368783e-10,0.15,2.739073619760148e-09,0.15,2.598369073220606e-08,0.15,1.677048233953942e-07,0.15,6.087259266821944e-07
0.2,1.303758467253617e-09,0.2,1.272585768682237e-08,0.2,1.009530191781131e-07,0.2,4.502836724084083e-07,0.2,1.217872089850097e-06
0.25,6.116189580450394e-09,0.25,5.385393889061715e-08,0.25,3.054975939578374e-07,0.25,9.673489167175312e-07,0.25,2.118198231767511e-06
0.3,2.725961702542617e-08,0.3,1.856941918820584e-07,0.3,7.209988771299199e-07,0.3,1.769768136000731e-06,0.3,3.337120033503758e-06
0.35,1.052072375465576e-07,0.35,4.93261900704431e-07,0.35,1.408915088733292e-06,0.35,2.890579555235516e-06,0.35,4.889765654422292e-06
0.4,3.178891316642039e-07,0.4,1.050513865433049e-06,0.4,2.409792863453735e-06,0.4,4.349291941172841e-06,0.4,6.780748280422512e-06
0.45,7.496663599331653e-07,0.45,1.908097622170469e-06,0.45,3.748432417514169e-06,0.45,6.154782248106525e-06,0.45,9.002049704468209e-06
0.4999999999999999,1.463321380057997e-06,0.4999999999999999,3.097835837486816e-06,0.4999999999999999,5.437633227461127e-06,0.4999999999999999,8.3073844528262e-06,0.4999999999999999,1.152667997062749e-05
0.5499999999999999,2.499380560221552e-06,0.5499999999999999,4.637639458562796e-06,0.5499999999999999,7.48068662160056e-06,0.5499999999999999,1.080060662951769e-05,0.5499999999999999,1.431622864913701e-05
0.6,3.881908436137189e-06,0.6,6.534674270265246e-06,0.6,9.873296919460366e-06,0.6,1.362261531116986e-05,0.6,1.733104523071368e-05
0.65,5.622651564609363e-06,0.65,8.787581565731152e-06,0.65,1.260523408379012e-05,0.65,1.675729976830912e-05,0.65,2.053214856531555e-05
0.7,7.723743523175073e-06,0.7,1.138828188642342e-05,0.7,1.566180439554386e-05,0.7,2.018292705485564e-05,0.7,2.38836154055821e-05
