abs(i("/TP1/D" ?result "dc")) (sm=0.1) X,abs(i("/TP1/D" ?result "dc")) (sm=0.1) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.2) X,abs(i("/TP1/D" ?result "dc")) (sm=0.2) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.3) X,abs(i("/TP1/D" ?result "dc")) (sm=0.3) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.4) X,abs(i("/TP1/D" ?result "dc")) (sm=0.4) Y,abs(i("/TP1/D" ?result "dc")) (sm=0.5) X,abs(i("/TP1/D" ?result "dc")) (sm=0.5) Y
-0.7,3.089508774842191e-10,-0.7,2.982084769364987e-09,-0.7,2.811180928894378e-08,-0.7,1.957507828961062e-07,-0.7,7.795516193931557e-07
-0.6499999999999999,2.222780536892112e-10,-0.6499999999999999,2.154846134879157e-09,-0.6499999999999999,2.067235119763654e-08,-0.6499999999999999,1.531353589693103e-07,-0.6499999999999999,6.559363838116294e-07
-0.5999999999999999,1.596281216013253e-10,-0.5999999999999999,1.553486672201081e-09,-0.5999999999999999,1.510924843848376e-08,-0.5999999999999999,1.18281104351525e-07,-0.5999999999999999,5.462785902170687e-07
-0.5499999999999998,1.144163686927009e-10,-0.5499999999999998,1.117347367245197e-09,-0.5499999999999998,1.098459484875447e-08,-0.5499999999999998,9.021255454641727e-08,-0.5499999999999998,4.499136330161332e-07
-0.4999999999999998,8.184397875481028e-11,-0.4999999999999998,8.017781518872167e-10,-0.4999999999999998,7.94849992085145e-09,-0.4999999999999998,6.797103133809324e-08,-0.4999999999999998,3.661247172381626e-07
-0.4499999999999998,5.841815328194449e-11,-0.4499999999999998,5.73957445660895e-10,-0.4499999999999998,5.727305907315173e-09,-0.4499999999999998,5.062712284498137e-08,-0.4499999999999998,2.941294280226835e-07
-0.3999999999999999,4.160065038622371e-11,-0.3999999999999999,4.098422922694677e-10,-0.3999999999999999,4.110715657863393e-09,-0.3999999999999999,3.730926273149021e-08,-0.3999999999999999,2.330776840133683e-07
-0.3499999999999999,2.954976618849907e-11,-0.3499999999999999,2.918726117828212e-10,-0.3499999999999999,2.939411769603542e-09,-0.3499999999999999,2.722876064662952e-08,-0.3499999999999999,1.820529305774007e-07
-0.2999999999999999,2.093124301511937e-11,-0.2999999999999999,2.072563692364003e-10,-0.2999999999999999,2.094068187304984e-09,-0.2999999999999999,1.969723317513112e-08,-0.2999999999999999,1.400781489875166e-07
-0.2499999999999999,1.477984484148641e-11,-0.2499999999999999,1.466956170455441e-10,-0.2499999999999999,1.486111803218509e-09,-0.2499999999999999,1.413423587910083e-08,-0.2499999999999999,1.061277303134855e-07
-0.1999999999999999,1.039777068134517e-11,-0.1999999999999999,1.03440477095911e-10,-0.1999999999999999,1.050211674610428e-09,-0.1999999999999999,1.006503459082532e-08,-0.1999999999999999,7.914264715221054e-08
-0.1499999999999999,7.277641127461971e-12,-0.1499999999999999,7.256367727492037e-11,-0.1499999999999999,7.380852570802229e-10,-0.1499999999999999,7.108376229965585e-09,-0.1499999999999999,5.802555250303503e-08
-0.09999999999999991,5.02477719492262e-12,-0.09999999999999991,5.02118172395226e-11,-0.09999999999999991,5.11534587187301e-10,-0.09999999999999991,4.939247668614553e-09,-0.09999999999999991,4.144303019471064e-08
-0.04999999999999991,3.133331598078873e-12,-0.04999999999999991,3.137927285033446e-11,-0.04999999999999991,3.200862425238377e-10,-0.04999999999999991,3.090141991639313e-09,-0.04999999999999991,2.619976372164617e-08
0,2.210046166842076e-16,0,2.210046166842076e-16,0,2.210046166842076e-16,0,2.210046166842076e-16,0,2.210046166842076e-16
