abs(i("/TP0/D" ?result "dc")) X,abs(i("/TP0/D" ?result "dc")) Y
-0.7,1.138828169031229e-05
-0.6499999999999999,8.787581577554402e-06
-0.5999999999999999,6.53467427971124e-06
-0.5499999999999998,4.637639465940029e-06
-0.4999999999999998,3.097835843074743e-06
-0.4499999999999998,1.908097626230818e-06
-0.3999999999999999,1.050513868223755e-06
-0.3499999999999999,4.932619024915505e-07
-0.2999999999999999,1.856941929543521e-07
-0.2499999999999999,5.385393955607742e-08
-0.1999999999999999,1.27258581927088e-08
-0.1499999999999999,2.739074080145054e-09
-0.09999999999999991,5.673498470394632e-10
-0.04999999999999991,1.055371777034009e-10
0,2.210046166842076e-16
0.05,3.137883005902939e-11
0.1,5.021137185754448e-11
0.15,7.256322754216289e-11
0.2,1.03440021257517e-10
0.25,1.466951533457114e-10
0.3,2.072558959164544e-10
0.35,2.918721270778673e-10
0.4,4.098417944133772e-10
0.45,5.739569328881069e-10
0.4999999999999999,8.017776224335503e-10
0.5499999999999999,1.117346819357821e-09
0.6,1.553486104141733e-09
0.65,2.154845544914353e-09
0.7,2.981914309688557e-09
