/TP0/D X,/TP0/D Y
-0.7,7.867200546212125e-08
-0.6719999999999999,5.985549156495484e-08
-0.6439999999999999,4.510009640461287e-08
-0.6159999999999999,3.369435136141321e-08
-0.5879999999999999,2.49923816599913e-08
-0.5599999999999998,1.842857550441265e-08
-0.5319999999999998,1.352478591342053e-08
-0.5039999999999998,9.889576055482299e-09
-0.4759999999999998,7.21125171488598e-09
-0.4479999999999997,5.24723320531285e-09
-0.4199999999999997,3.812146097201621e-09
-0.3919999999999997,2.766324739187053e-09
-0.3639999999999997,2.005669263635175e-09
-0.3359999999999996,1.453211649435195e-09
-0.3079999999999996,1.052382110431127e-09
-0.2799999999999996,7.617837260161673e-10
-0.2519999999999996,5.512182500613873e-10
-0.2239999999999996,3.987064816441087e-10
-0.1959999999999996,2.88277003843286e-10
-0.1679999999999996,2.08337038656907e-10
-0.1399999999999996,1.504782858537253e-10
-0.1119999999999996,1.086043725536043e-10
-0.08399999999999958,7.829001009820047e-11
-0.05599999999999958,5.609620357128913e-11
-0.02799999999999958,3.587378381857732e-11
0,-9.116440394886789e-16
0.028,-1.360070721012681e-10
0.05599999999999999,-8.042742670055844e-10
0.08399999999999999,-4.191912063620532e-09
0.112,-2.054239535753275e-08
0.14,-8.45477249535409e-08
0.168,-2.599062572725158e-07
0.196,-6.063265327430912e-07
0.224,-1.161036203872872e-06
0.252,-1.945081206390398e-06
0.28,-2.970312553996809e-06
0.3080000000000001,-4.243026427823185e-06
0.3360000000000001,-5.765844174024343e-06
0.3640000000000001,-7.53879057172663e-06
0.3920000000000001,-9.559977334077337e-06
0.4200000000000002,-1.182607089106671e-05
0.4480000000000002,-1.433263042092355e-05
0.4760000000000002,-1.707435955554467e-05
0.5040000000000002,-2.004527916266759e-05
0.5320000000000003,-2.323860010750679e-05
0.5600000000000003,-2.664313124291826e-05
0.5880000000000003,-3.022957235643926e-05
0.6160000000000003,-3.396155461972017e-05
0.6440000000000003,-3.778209554605476e-05
0.6720000000000004,-4.159865915588401e-05
0.7,-4.530123295950326e-05
