/TP0/D (Vdiff=0.9) X,/TP0/D (Vdiff=0.9) Y,/TP0/D (Vdiff=1) X,/TP0/D (Vdiff=1) Y,/TP0/D (Vdiff=1.1) X,/TP0/D (Vdiff=1.1) Y,/TP0/D (Vdiff=1.2) X,/TP0/D (Vdiff=1.2) Y,/TP0/D (Vdiff=1.3) X,/TP0/D (Vdiff=1.3) Y,/TP0/D (Vdiff=1.4) X,/TP0/D (Vdiff=1.4) Y,/TP0/D (Vdiff=1.5) X,/TP0/D (Vdiff=1.5) Y,/TP0/D (Vdiff=1.6) X,/TP0/D (Vdiff=1.6) Y,/TP0/D (Vdiff=1.7) X,/TP0/D (Vdiff=1.7) Y
-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08,-0.7,7.86720183415336e-08
-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,5.985549724085782e-08
-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,4.510010093674312e-08
-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,3.36943547253471e-08
-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,2.499238513591234e-08
-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.842857799474125e-08
-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,1.352478767925274e-08
-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,9.889577303776924e-09
-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,7.211252596796863e-09
-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,5.247233828688109e-09
-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.812146538360748e-09
-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.766325051898427e-09
