Vout X,Vout Y,net1 X,net1 Y
-0.000225,0,-0.000225,0
-0.0002249999999421592,1.482481967006735e-10,-0.0002249999999421592,1.511104558774478e-10
-0.0002249999999337556,1.685846624549592e-10,-0.0002249999999337556,1.731511790197216e-10
-0.0002249999999273193,1.836324016373116e-10,-0.0002249999999273193,1.896282378646393e-10
-0.0002249999999207996,1.984500627655297e-10,-0.0002249999999207996,2.057384593275663e-10
-0.0002249999999141599,2.131812430363855e-10,-0.0002249999999141599,2.214850355925425e-10
-0.0002249999999073465,2.279755393021122e-10,-0.0002249999999073465,2.369229514540503e-10
-0.0002249999999003371,2.428941153248641e-10,-0.0002249999999003371,2.520350764310211e-10
-0.0002249999998931088,2.579821953997913e-10,-0.0002249999998931088,2.667985199445951e-10
-0.000224999999885636,2.732789951533883e-10,-0.000224999999885636,2.811981215410556e-10
-0.0002249999998778883,2.888156585981881e-10,-0.0002249999998778883,2.952105142637734e-10
-0.000224999999869831,3.046166778185206e-10,-0.000224999999869831,3.088173777924421e-10
-0.0002249999998614224,3.207003275997016e-10,-0.0002249999998614224,3.220000408985885e-10
-0.0002249999998526122,3.370804337675112e-10,-0.0002249999998526122,3.347360956783892e-10
-0.0002249999998434724,3.535294448730392e-10,-0.0002249999998434724,3.468432113299593e-10
-0.0002249999998346792,3.688164203557127e-10,-0.0002249999998346792,3.575149478881897e-10
-0.0002249999998260946,3.831949181749829e-10,-0.0002249999998260946,3.670474334535313e-10
-0.0002249999998176469,3.967836906172981e-10,-0.0002249999998176469,3.756136474034827e-10
-0.0002249999998092765,4.096686627436215e-10,-0.0002249999998092765,3.833400970471476e-10
-0.0002249999998009307,4.219113855237036e-10,-0.0002249999998009307,3.903262187456188e-10
-0.0002249999997925571,4.335600991877465e-10,-0.0002249999997925571,3.966507902983291e-10
-0.0002249999997841087,4.446416516699455e-10,-0.0002249999997841087,4.023692460915705e-10
-0.0002249999997755371,4.551714202165231e-10,-0.0002249999997755371,4.075204986195061e-10
-0.0002249999997667891,4.65154804873016e-10,-0.0002249999997667891,4.121381892050219e-10
-0.000224999999757806,4.74582771948885e-10,-0.000224999999757806,4.162334439279847e-10
-0.0002249999997485154,4.834357335801616e-10,-0.0002249999997485154,4.198119690265403e-10
-0.000224999999738828,4.91680367599276e-10,-0.000224999999738828,4.228591540397174e-10
-0.0002249999997286226,4.99261484048018e-10,-0.0002249999997286226,4.253434311331915e-10
-0.0002249999997177289,5.060944388652895e-10,-0.0002249999997177289,4.271988125515601e-10
-0.0002249999997058788,5.120440662512295e-10,-0.0002249999997058788,4.28313349097511e-10
-0.0002249999996926068,5.168751417997831e-10,-0.0002249999996926068,4.284672800741145e-10
-0.000224999999677098,5.200831159048399e-10,-0.000224999999677098,4.27207600922479e-10
-0.0002249999996536628,5.196866423859274e-10,-0.0002249999996536628,4.221710501589817e-10
-0.0002249999996293736,5.140738591949117e-10,-0.0002249999996293736,4.137511724336084e-10
-0.0002249999996067491,5.047181706862801e-10,-0.0002249999996067491,4.032744259392915e-10
-0.0002249999995918641,4.96891648823402e-10,-0.0002249999995918641,3.952851660586132e-10
-0.0002249999995791227,4.890408500926122e-10,-0.0002249999995791227,3.87671665734214e-10
-0.0002249999995666827,4.803478012739987e-10,-0.0002249999995666827,3.795310594546745e-10
-0.0002249999995545977,4.709971631941083e-10,-0.0002249999995545977,3.709825742568332e-10
-0.0002249999995428081,4.610728237414024e-10,-0.0002249999995428081,3.620621182731011e-10
-0.0002249999995312711,4.506477261481986e-10,-0.0002249999995312711,3.52806504330291e-10
-0.0002249999995199516,4.397849519169765e-10,-0.0002249999995199516,3.432461842660755e-10
-0.0002249999995088197,4.285371501262941e-10,-0.0002249999995088197,3.334100901546917e-10
-0.0002249999994978498,4.169510855922692e-10,-0.0002249999994978498,3.233220946881882e-10
-0.0002249999994870195,4.050659272774266e-10,-0.0002249999994870195,3.130059507592952e-10
-0.0002249999994763094,3.929173545969503e-10,-0.0002249999994763094,3.024834729065785e-10
-0.0002249999994657022,3.805381362708595e-10,-0.0002249999994657022,2.917740183818113e-10
-0.000224999999455182,3.679558359839716e-10,-0.000224999999455182,2.808968256487045e-10
-0.0002249999994447349,3.551970895691635e-10,-0.0002249999994447349,2.69870510195706e-10
-0.0002249999994343478,3.422851466778007e-10,-0.0002249999994343478,2.587113393493786e-10
-0.0002249999994240086,3.292422902723936e-10,-0.0002249999994240086,2.474365084954429e-10
-0.0002249999994137063,3.160896228723294e-10,-0.0002249999994137063,2.360609899440696e-10
-0.0002249999994034302,3.028459276751033e-10,-0.0002249999994034302,2.245999669854389e-10
-0.0002249999993931701,2.895291653746198e-10,-0.0002249999993931701,2.130681015804951e-10
-0.0002249999993829163,2.761573196313887e-10,-0.0002249999993829163,2.014803492893794e-10
-0.0002249999993726595,2.627464203919903e-10,-0.0002249999993726595,1.898490304768178e-10
-0.0002249999993623902,2.493132520460298e-10,-0.0002249999993623902,1.781896300329107e-10
-0.0002249999993520996,2.358734886440027e-10,-0.0002249999993520996,1.665135606549741e-10
-0.0002249999993417782,2.224422911225576e-10,-0.0002249999993417782,1.548365550445793e-10
-0.000224999999331417,2.090347349549502e-10,-0.000224999999331417,1.431688723037355e-10
-0.0002249999993210063,1.956659848446038e-10,-0.0002249999993210063,1.315246741310335e-10
-0.0002249999993105369,1.823505347660121e-10,-0.0002249999993105369,1.199171058667142e-10
-0.0002249999992999986,1.691040883978854e-10,-0.0002249999992999986,1.083588148542107e-10
-0.0002249999992893813,1.559418950095131e-10,-0.0002249999992893813,9.686191464499324e-11
-0.0002249999992786735,1.428790074831376e-10,-0.0002249999992786735,8.543954437263113e-11
-0.0002249999992678634,1.299296254176001e-10,-0.0002249999992678634,7.410447558296389e-11
-0.0002249999992569385,1.171111631961099e-10,-0.0002249999992569385,6.287082532542897e-11
-0.0002249999992458851,1.044402156863843e-10,-0.0002249999992458851,5.175192408729077e-11
-0.000224999999234687,9.193257212597188e-11,-0.000224999999234687,4.076058504006191e-11
-0.0002249999992233269,7.960484646887396e-11,-0.0002249999992233269,2.991016797855696e-11
-0.0002249999992117852,6.747516601020857e-11,-0.0002249999992117852,1.921390445915825e-11
-0.0002249999992000396,5.556161647566233e-11,-0.0002249999992000396,8.688162948701762e-12
-0.0002249999991880648,4.388454976470727e-11,-0.0002249999991880648,-1.652564947254717e-12
-0.0002249999991758313,3.246567225898713e-11,-0.0002249999991758313,-1.179084074321037e-11
-0.0002249999991633045,2.132834552334859e-11,-0.0002249999991633045,-2.170925569570931e-11
-0.000224999999150443,1.049911669149569e-11,-0.000224999999150443,-3.138911032480306e-11
-0.0002249999991371969,6.500389790147616e-15,-0.0002249999991371969,-4.080812025455208e-11
-0.0002249999991235037,-1.011693190991048e-11,-0.0002249999991235037,-4.994094774396962e-11
