Vout X,Vout Y,net1 X,net1 Y
-0.000225,0,-0.000225,0
-0.0002249999999457926,1.500611963239258e-10,-0.0002249999999457926,1.550949722268035e-10
-0.0002249999999378946,1.709947641620593e-10,-0.0002249999999378946,1.778496807010628e-10
-0.0002249999999317765,1.868098133768957e-10,-0.0002249999999317765,1.950802093797531e-10
-0.0002249999999255737,2.025314849726125e-10,-0.0002249999999255737,2.119725664594056e-10
-0.0002249999999192689,2.182507844715956e-10,-0.0002249999999192689,2.284854682334292e-10
-0.000224999999912812,2.341146724842758e-10,-0.000224999999912812,2.446896713627334e-10
-0.0002249999999061872,2.501645566616357e-10,-0.0002249999999061872,2.605718698403534e-10
-0.0002249999998993796,2.664238004279526e-10,-0.0002249999998993796,2.761219765323485e-10
-0.0002249999998923727,2.829061439675439e-10,-0.0002249999998923727,2.913280629979622e-10
-0.0002249999998851489,2.996146964832732e-10,-0.0002249999998851489,3.061806572703154e-10
-0.0002249999998776879,3.165451479549222e-10,-0.0002249999998776879,3.20670297241844e-10
-0.0002249999998699672,3.33683961233888e-10,-0.0002249999998699672,3.347879550220287e-10
-0.0002249999998619604,3.510087894316078e-10,-0.0002249999998619604,3.485258423792091e-10
-0.0002249999998540567,3.676349257720709e-10,-0.0002249999998540567,3.61243355729081e-10
-0.0002249999998382493,3.98692768935956e-10,-0.0002249999998382493,3.835770039422395e-10
-0.0002249999998271841,4.192667198490988e-10,-0.0002249999998271841,3.977743216783138e-10
-0.0002249999998154181,4.397291086622541e-10,-0.0002249999998154181,4.113337340137532e-10
-0.000224999999806985,4.536377933974126e-10,-0.000224999999806985,4.202922831284623e-10
-0.0002249999997987005,4.66544057282102e-10,-0.0002249999997987005,4.283827924018645e-10
-0.0002249999997902978,4.788332842513014e-10,-0.0002249999997902978,4.35878946649598e-10
-0.0002249999997815901,4.90689707869358e-10,-0.0002249999997815901,4.429072653092265e-10
-0.0002249999997724799,5.021158852017003e-10,-0.0002249999997724799,4.494701082641915e-10
-0.0002249999997628487,5.130907008944131e-10,-0.0002249999997628487,4.555441287459626e-10
-0.0002249999997525294,5.235760739002622e-10,-0.0002249999997525294,4.610807046648081e-10
-0.0002249999997412679,5.335059575641721e-10,-0.0002249999997412679,4.659851552717319e-10
-0.0002249999997286375,5.42762413572958e-10,-0.0002249999997286375,4.700812768055494e-10
-0.0002249999997138946,5.510611323360897e-10,-0.0002249999997138946,4.729856329116127e-10
-0.0002249999996916806,5.581637684577427e-10,-0.0002249999996916806,4.732360560435451e-10
-0.0002249999996681643,5.600397513151535e-10,-0.0002249999996681643,4.690726216979605e-10
-0.0002249999996461384,5.572192966449914e-10,-0.0002249999996461384,4.614827669873579e-10
-0.0002249999996305893,5.530833261443326e-10,-0.0002249999996305893,4.543627368665881e-10
-0.0002249999996177923,5.483052334364895e-10,-0.0002249999996177923,4.473579742780702e-10
-0.0002249999996053902,5.424560566776038e-10,-0.0002249999996053902,4.395407411531494e-10
-0.0002249999995934865,5.35783147998523e-10,-0.0002249999995934865,4.31134165897592e-10
-0.0002249999995819753,5.283984237112391e-10,-0.0002249999995819753,4.222010378209927e-10
-0.0002249999995707907,5.203966852138079e-10,-0.0002249999995707907,4.128046743041288e-10
-0.0002249999995598806,5.118542912076084e-10,-0.0002249999995598806,4.029948693781019e-10
-0.0002249999995492029,5.028338151468188e-10,-0.0002249999995492029,3.928159796401612e-10
-0.0002249999995387231,4.933881893905444e-10,-0.0002249999995387231,3.823044755299809e-10
-0.0002249999995284125,4.835617386661503e-10,-0.0002249999995284125,3.71492676586336e-10
-0.0002249999995182469,4.73394745738439e-10,-0.0002249999995182469,3.604111619007607e-10
-0.0002249999995082055,4.629210619953294e-10,-0.0002249999995082055,3.490860112593322e-10
-0.00022499999949827,4.521715092859867e-10,-0.00022499999949827,3.37541587403477e-10
-0.0002249999994884245,4.411737201671035e-10,-0.0002249999994884245,3.257990639545292e-10
-0.0002249999994786547,4.299540324860347e-10,-0.0002249999994786547,3.138825101645989e-10
-0.000224999999468948,4.18535314150166e-10,-0.000224999999468948,3.018074220237184e-10
-0.0002249999994592923,4.06939936576826e-10,-0.0002249999994592923,2.895952256929995e-10
-0.0002249999994496772,3.951882515046594e-10,-0.0002249999994496772,2.772630327335811e-10
-0.0002249999994400928,3.832997111328322e-10,-0.0002249999994400928,2.648257655876655e-10
-0.0002249999994305294,3.712923425843999e-10,-0.0002249999994305294,2.523001095518919e-10
-0.0002249999994209783,3.591845063206966e-10,-0.0002249999994209783,2.397017633991144e-10
-0.000224999999411431,3.469935616333981e-10,-0.000224999999411431,2.270455757531866e-10
-0.0002249999994018791,3.347348118698488e-10,-0.0002249999994018791,2.143449225681972e-10
-0.0002249999993923146,3.224253180273717e-10,-0.0002249999993923146,2.016140723404954e-10
-0.0002249999993827295,3.100808074893613e-10,-0.0002249999993827295,1.88867654564947e-10
-0.0002249999993731159,2.977164039815642e-10,-0.0002249999993731159,1.761185220300223e-10
-0.000224999999363466,2.853481396853637e-10,-0.000224999999363466,1.63379979866354e-10
-0.0002249999993537714,2.729907828119019e-10,-0.0002249999993537714,1.506641834707654e-10
-0.000224999999344024,2.606595455605663e-10,-0.000224999999344024,1.379853327123285e-10
-0.0002249999993342149,2.483698965799514e-10,-0.0002249999993342149,1.25356440814259e-10
-0.0002249999993243357,2.361372821569983e-10,-0.0002249999993243357,1.127892101045455e-10
-0.0002249999993143763,2.239761937254052e-10,-0.0002249999993143763,1.002978763875879e-10
-0.0002249999993043268,2.119036642745482e-10,-0.0002249999993043268,8.789597074774238e-11
-0.0002249999992941767,1.999347405755911e-10,-0.0002249999992941767,7.559693879666076e-11
-0.0002249999992839142,1.880863817214333e-10,-0.0002249999992839142,6.341263857336486e-11
-0.0002249999992735265,1.763742764083023e-10,-0.0002249999992735265,5.135835766932086e-11
-0.0002249999992629983,1.648144872234234e-10,-0.0002249999992629983,3.944708654954788e-11
-0.0002249999992523138,1.534253269335207e-10,-0.0002249999992523138,2.769238332234298e-11
-0.0002249999992414543,1.422241279969559e-10,-0.0002249999992414543,1.610970244587965e-11
-0.0002249999992303993,1.312304442280284e-10,-0.0002249999992303993,4.713993928018085e-12
-0.0002249999992191248,1.204647273841466e-10,-0.0002249999992191248,-6.477763692051805e-12
-0.0002249999992076032,1.099492090335742e-10,-0.0002249999992076032,-1.744906484686035e-11
-0.0002249999991958017,9.970711286153959e-11,-0.0002249999991958017,-2.818071206932375e-11
-0.0002249999991836813,8.976554281012181e-11,-0.0002249999991836813,-3.865156152127834e-11
-0.000224999999171195,8.015394557845764e-11,-0.000224999999171195,-4.88401856944875e-11
-0.0002249999991582839,7.09066267248985e-11,-0.0002249999991582839,-5.871975831606073e-11
-0.0002249999991448736,6.206321611024229e-11,-0.0002249999991448736,-6.826058313530881e-11
-0.0002249999991308665,5.367112362677923e-11,-0.0002249999991308665,-7.742975368771325e-11
-0.0002249999991161298,4.578973654392412e-11,-0.0002249999991161298,-8.61843910302737e-11
-0.0002249999991004739,3.84948177099179e-11,-0.0002249999991004739,-9.447212772142932e-11
-0.0002249999990836098,3.189116090813907e-11,-0.0002249999990836098,-1.022248398486498e-10
-0.0002249999990650494,2.613807651993694e-11,-0.0002249999990650494,-1.093427565723964e-10
-0.0002249999990439143,2.152594942859321e-11,-0.0002249999990439143,-1.156405562382897e-10
-0.0002249999990089784,1.898713167225047e-11,-0.0002249999990089784,-1.213299337455134e-10
-0.0002249999989716448,2.170275124518329e-11,-0.0002249999989716448,-1.223912391138466e-10
-0.0002249999989401519,2.757979775490193e-11,-0.0002249999989401519,-1.199855375798862e-10
-0.0002249999989023932,3.92234395644966e-11,-0.0002249999989023932,-1.12887809301446e-10
-0.0002249999988645151,5.491115773613972e-11,-0.0002249999988645151,-1.021162659826458e-10
-0.0002249999988422961,6.53623749740112e-11,-0.0002249999988422961,-9.466481274690979e-11
-0.0002249999988237075,7.490102091341099e-11,-0.0002249999988237075,-8.771223021510228e-11
-0.0002249999988055907,8.487974303179213e-11,-0.0002249999988055907,-8.032170131294374e-11
-0.0002249999987880606,9.510686716928099e-11,-0.0002249999987880606,-7.265909151598711e-11
-0.0002249999987709542,1.055678152276209e-10,-0.0002249999987709542,-6.475302304560653e-11
-0.0002249999987541817,1.162281195137173e-10,-0.0002249999987541817,-5.664507273629613e-11
-0.0002249999987376692,1.270581956672946e-10,-0.0002249999987376692,-4.836933108122544e-11
-0.0002249999987213542,1.380327037931438e-10,-0.0002249999987213542,-3.995545654168432e-11
-0.0002249999987051822,1.491289275817857e-10,-0.0002249999987051822,-3.143029049686235e-11
-0.0002249999986891059,1.603260813573222e-10,-0.0002249999986891059,-2.281712636952725e-11
-0.0002249999986730815,1.716051722725846e-10,-0.0002249999986730815,-1.413957199733718e-11
-0.0002249999986570678,1.829490163579991e-10,-0.0002249999986570678,-5.416246446203983e-12
-0.0002249999986410253,1.943408568912492e-10,-0.0002249999986410253,3.332091271170657e-12
-0.0002249999986249151,2.057656855052166e-10,-0.0002249999986249151,1.208774705579335e-11
-0.0002249999986086974,2.172087325429325e-10,-0.0002249999986086974,2.083225061251821e-11
-0.0002249999985923309,2.286568440849718e-10,-0.0002249999985923309,2.954815880446417e-11
-0.0002249999985757726,2.400969020551912e-10,-0.0002249999985757726,3.821946986953786e-11
-0.0002249999985589741,2.515162458884258e-10,-0.0002249999985589741,4.682849162768637e-11
-0.0002249999985418818,2.629037961509236e-10,-0.0002249999985418818,5.535753005909085e-11
-0.000224999998524435,2.742494183076963e-10,-0.000224999998524435,6.379213800738136e-11
-0.0002249999985065611,2.855426086196269e-10,-0.0002249999985065611,7.211230235075602e-11
-0.0002249999984881728,2.967765823419431e-10,-0.0002249999984881728,8.030056515115417e-11
-0.0002249999984691626,3.079438597830951e-10,-0.0002249999984691626,8.833845719215515e-11
-0.0002249999984493909,3.190422450665561e-10,-0.0002249999984493909,9.620511969533454e-11
-0.0002249999984286724,3.300728569799475e-10,-0.0002249999984286724,1.038799219195951e-10
-0.0002249999984067457,3.410465178113142e-10,-0.0002249999984067457,1.113395407639347e-10
-0.0002249999983832187,3.519880793193019e-10,-0.0002249999983832187,1.185580470977425e-10
-0.0002249999983574485,3.629539948354051e-10,-0.0002249999983574485,1.255079972736542e-10
-0.0002249999983282774,3.740544670687366e-10,-0.0002249999983282774,1.321477175367443e-10
-0.0002249999982788994,3.892167112072769e-10,-0.0002249999982788994,1.400112423475274e-10
-0.0002249999982254146,4.017262492364746e-10,-0.0002249999982254146,1.449079331585093e-10
-0.0002249999981812482,4.096458180681583e-10,-0.0002249999981812482,1.467326640145597e-10
-0.0002249999981276722,4.162642159361147e-10,-0.0002249999981276722,1.46214148172806e-10
-0.0002249999980720319,4.206023009320222e-10,-0.0002249999980720319,1.43377641573382e-10
-0.0002249999980369888,4.225054447083034e-10,-0.0002249999980369888,1.408458518620832e-10
-0.0002249999980072953,4.23630985813387e-10,-0.0002249999980072953,1.382671164639746e-10
-0.0002249999979782558,4.243664206343412e-10,-0.0002249999979782558,1.354231729247199e-10
-0.000224999997949683,4.248297692546781e-10,-0.000224999997949683,1.324014387870418e-10
-0.0002249999979213244,4.251207483689162e-10,-0.0002249999979213244,1.292618759985428e-10
-0.0002249999978929563,4.253263423099713e-10,-0.0002249999978929563,1.260585323020176e-10
-0.0002249999978643642,4.255269054493073e-10,-0.0002249999978643642,1.228399486688259e-10
-0.0002249999978353271,4.258008038983964e-10,-0.0002249999978353271,1.196522517969032e-10
-0.0002249999978055977,4.262289234366231e-10,-0.0002249999978055977,1.165414113496831e-10
-0.0002249999977748802,4.269018716806731e-10,-0.0002249999977748802,1.135559378651666e-10
-0.0002249999977427891,4.279278747966807e-10,-0.0002249999977427891,1.107520046293648e-10
-0.0002249999977087856,4.294451303755608e-10,-0.0002249999977087856,1.081946632016598e-10
-0.0002249999976720385,4.316538348051617e-10,-0.0002249999976720385,1.059728421435901e-10
-0.0002249999976310884,4.348804907593541e-10,-0.0002249999976310884,1.042201718987165e-10
-0.0002249999975832932,4.397289776105992e-10,-0.0002249999975832932,1.031908206740836e-10
-0.0002249999975105616,4.495200839126735e-10,-0.0002249999975105616,1.038709021362618e-10
-0.0002249999974364071,4.617208614146012e-10,-0.0002249999974364071,1.066133885621039e-10
-0.0002249999973673172,4.746837890868695e-10,-0.0002249999973673172,1.106305785671604e-10
-0.0002249999972833182,4.921164915671371e-10,-0.0002249999972833182,1.170286827955545e-10
-0.0002249999971945959,5.115936277060488e-10,-0.0002249999971945959,1.247265803469289e-10
-0.000224999997134775,5.249799089353241e-10,-0.000224999997134775,1.301306641559126e-10
-0.0002249999970782047,5.376920671375362e-10,-0.0002249999970782047,1.352724889961916e-10
-0.0002249999970195501,5.50766353560985e-10,-0.0002249999970195501,1.404872723046039e-10
-0.0002249999969561736,5.646102166548693e-10,-0.0002249999969561736,1.45842166392296e-10
-0.0002249999968839256,5.798710010681915e-10,-0.0002249999968839256,1.514461627626418e-10
-0.0002249999967597053,6.043764563399711e-10,-0.0002249999967597053,1.594494594350618e-10
-0.0002249999966373087,6.27037932479558e-10,-0.0002249999966373087,1.659548278392207e-10
-0.0002249999965314002,6.45789908438132e-10,-0.0002249999965314002,1.707953075763952e-10
-0.0002249999963926942,6.695384046531135e-10,-0.0002249999963926942,1.764012791381323e-10
-0.0002249999962354215,6.962104532206477e-10,-0.0002249999962354215,1.825439023201594e-10
-0.0002249999960722658,7.241385385350353e-10,-0.0002249999960722658,1.891719419246457e-10
-0.0002249999958309657,7.664033074244035e-10,-0.0002249999958309657,1.998707416347056e-10
-0.0002249999956003525,8.074563573083578e-10,-0.0002249999956003525,2.106972750420977e-10
-0.0002249999953749119,8.478955636051454e-10,-0.0002249999953749119,2.215499570988844e-10
-0.0002249999950478511,9.066196840093757e-10,-0.0002249999950478511,2.373167895080477e-10
-0.0002249999944071835,1.021356062608537e-09,-0.0002249999944071835,2.678442464894619e-10
-0.0002249999938811874,1.115502431181616e-09,-0.0002249999938811874,2.928078092940241e-10
-0.0002249999932049775,1.236616315911817e-09,-0.0002249999932049775,3.248931873887376e-10
-0.0002249999918525576,1.479256209944159e-09,-0.0002249999918525576,3.891119758294129e-10
-0.000224999989708086,1.864970915141142e-09,-0.000224999989708086,4.910047881876289e-10
-0.000224999985651314,2.598052949005105e-09,-0.000224999985651314,6.839600539814923e-10
-0.00022499997753777,4.077585616035309e-09,-0.00022499997753777,1.070665592739408e-09
-0.000224999961310682,7.087953251336906e-09,-0.000224999961310682,1.847173096938597e-09
-0.0002249999288565059,1.329763164914314e-08,-0.0002249999288565059,3.411884790269249e-09
-0.0002249999000642236,1.89446828094765e-08,-0.0002249999000642236,4.80876859516547e-09
-0.0002249998622845999,2.65698574878052e-08,-0.0002249998622845999,6.65562212954115e-09
-0.0002249998307387792,3.307500712064301e-08,-0.0002249998307387792,8.206842251771368e-09
-0.0002249997975298578,4.006322260197072e-08,-0.0002249997975298578,9.849239660933451e-09
-0.0002249997637833906,4.729665230329796e-08,-0.0002249997637833906,1.15272258295386e-08
-0.0002249997285234986,5.498551050914188e-08,-0.0002249997285234986,1.328953388138117e-08
-0.0002249996915048024,6.318841036091121e-08,-0.0002249996915048024,1.514891489835098e-08
-0.0002249996525044876,7.196051970977836e-08,-0.0002249996525044876,1.711709698807227e-08
-0.0002249996112635204,8.136638918465194e-08,-0.0002249996112635204,1.920772495050867e-08
-0.0002249995674725058,9.148339520352388e-08,-0.0002249995674725058,2.143709668987273e-08
