Vmem X,Vmem Y,Vout X,Vout Y
-0.000225,0,-0.000225,0
-0.0002249999999504637,1.774588927986295e-10,-0.0002249999999504637,1.645863457479395e-10
-0.0002249999999436315,2.022308168704102e-10,-0.0002249999999436315,1.867918114952328e-10
-0.0002249999999383251,2.214579559030451e-10,-0.0002249999999383251,2.037547082781527e-10
-0.0002249999999329862,2.406394286061117e-10,-0.0002249999999329862,2.205224379617711e-10
-0.0002249999999276127,2.596610247608227e-10,-0.0002249999999276127,2.370784316332987e-10
-0.0002249999999221677,2.785533728988516e-10,-0.0002249999999221677,2.535171893637003e-10
-0.0002249999999166366,2.972747011228776e-10,-0.0002249999999166366,2.698568699867507e-10
-0.0002249999999110059,3.157871972622563e-10,-0.0002249999999110059,2.86122468106111e-10
-0.0002249999999052613,3.340602039840344e-10,-0.0002249999999052613,3.023405252759578e-10
-0.0002249999998993878,3.520640013454308e-10,-0.0002249999998993878,3.185381655659201e-10
-0.0002249999998933684,3.697715463874478e-10,-0.0002249999998933684,3.347505266598816e-10
-0.0002249999998871838,3.871543672869771e-10,-0.0002249999998871838,3.51013433929021e-10
-0.0002249999998808118,4.041845920327602e-10,-0.0002249999998808118,3.673692756893904e-10
-0.0002249999998742255,4.208351253186675e-10,-0.0002249999998742255,3.838715390497583e-10
-0.0002249999998673921,4.370732282603032e-10,-0.0002249999998673921,4.00580526910803e-10
-0.0002249999998602701,4.528660574899834e-10,-0.0002249999998602701,4.175687290288611e-10
-0.0002249999998528052,4.681730844394113e-10,-0.0002249999998528052,4.349297515157842e-10
-0.000224999999844924,4.829484096538954e-10,-0.000224999999844924,4.527879020138112e-10
-0.0002249999998365215,4.97136367469152e-10,-0.0002249999998365215,4.713194011333255e-10
-0.0002249999998274372,5.106633604914789e-10,-0.0002249999998274372,4.907875982982872e-10
-0.0002249999998174002,5.234302068939252e-10,-0.0002249999998174002,5.116381689150349e-10
-0.000224999999805926,5.352389270579675e-10,-0.000224999999805926,5.346540700525338e-10
-0.0002249999997870137,5.474782383296646e-10,-0.0002249999997870137,5.705191099244841e-10
-0.0002249999997667265,5.528020024517289e-10,-0.0002249999997667265,6.067898666970711e-10
-0.0002249999997495071,5.520410362317739e-10,-0.0002249999997495071,6.360991721393515e-10
-0.00022499999972892,5.442282222724635e-10,-0.00022499999972892,6.692199600714735e-10
-0.0002249999997145549,5.35643778477567e-10,-0.0002249999997145549,6.914631770683952e-10
-0.0002249999997039283,5.27674155723616e-10,-0.0002249999997039283,7.074699879540476e-10
-0.0002249999996935457,5.184332629340525e-10,-0.0002249999996935457,7.227086770843675e-10
-0.0002249999996835106,5.082262850846932e-10,-0.0002249999996835106,7.370866302471366e-10
-0.0002249999996739991,4.974764971955533e-10,-0.0002249999996739991,7.504193081539798e-10
-0.0002249999996647729,4.861047674342546e-10,-0.0002249999996647729,7.630936748695935e-10
-0.0002249999996557911,4.741992382090594e-10,-0.0002249999996557911,7.752056460256124e-10
-0.0002249999996470122,4.618214942509721e-10,-0.0002249999996470122,7.868442250880467e-10
-0.0002249999996384032,4.490258394302276e-10,-0.0002249999996384032,7.980789025207922e-10
-0.0002249999996299377,4.358579699604658e-10,-0.0002249999996299377,8.089690216248178e-10
-0.0002249999996215932,4.223574327549723e-10,-0.0002249999996215932,8.195641525177532e-10
-0.0002249999996133508,4.085602122498781e-10,-0.0002249999996133508,8.299082566152561e-10
-0.0002249999996051941,3.944991481114266e-10,-0.0002249999996051941,8.400373081868869e-10
-0.0002249999995971088,3.802040124907463e-10,-0.0002249999995971088,8.499818575929996e-10
-0.0002249999995890823,3.657016359343416e-10,-0.0002249999995890823,8.597767577185154e-10
