dB20(mag(v("/net2" ?result "ac"))) X,dB20(mag(v("/net2" ?result "ac"))) Y
1,5.946261053281216
1.445439770745927,5.946260968553302
2.089296130854039,5.946260791531619
3.019951720402016,5.946260422679509
4.365158322401658,5.946259653946306
6.309573444801931,5.946258042485383
9.120108393559095,5.946254678395292
13.18256738556407,5.946247648016472
19.05460717963247,5.94623295697076
27.54228703338165,5.94620226413038
39.81071705534971,5.946138146665351
57.54399373371566,5.946004180468584
83.17637711026705,5.945724281509671
120.2264434617412,5.945139521451687
173.7800828749374,5.943917865071236
251.1886431509578,5.941365822339158
363.0780547701011,5.936035449351446
524.8074602497721,5.924905647127037
758.5775750291831,5.901682371815924
1096.478196143184,5.853293270628305
1584.893192461112,5.75276196764957
2290.867652767771,5.545157254744025
3311.311214825907,5.121656265384658
4786.300923226378,4.278373833803529
6918.309709189358,2.673339749652189
9999.999999999989,-0.1568561624302003
14454.39770745926,-4.625119429107731
20892.96130854037,-10.82386208091971
30199.51720402012,-18.46286356557815
43651.58322401653,-27.11389130870971
63095.73444801923,-36.48671542025649
91201.08393559082,-46.6296174061973
131825.6738556405,-58.40178715907429
190546.0717963244,-71.2503091498378
275422.8703338162,-68.26135047397348
398107.1705534965,-67.82278529935759
575439.9373371558,-69.54557085414896
831763.7711026693,-72.68934181891179
1202264.43461741,-77.07571678636614
1737800.828749372,-82.63432749452677
2511886.431509574,-89.11103467046014
3630780.547701005,-95.94748355697314
5248074.602497714,-102.4141882633555
7585775.75029182,-107.8609423380966
10964781.96143182,-111.9320633236084
15848931.9246111,-114.636424227742
22908676.52767767,-116.2488343315516
33113112.14825903,-117.1300830798481
47863009.23226371,-117.5837254667477
69183097.09189346,-117.8087703473341
100000000,-117.9175319602574
