dB20(mag(v("/net2" ?result "ac"))) X,dB20(mag(v("/net2" ?result "ac"))) Y
1,-0.07433885999840852
1.445439770745927,-0.07433894472632192
2.089296130854039,-0.07433912174800507
3.019951720402016,-0.07433949060011594
4.365158322401658,-0.07434025933331836
6.309573444801931,-0.07434187079424004
9.120108393559095,-0.07434523488433278
13.18256738556407,-0.07435226526315193
19.05460717963247,-0.0743669563088649
27.54228703338165,-0.07439764914924447
39.81071705534971,-0.0744617666142722
57.54399373371566,-0.07459573281104005
83.17637711026705,-0.07487563176995307
120.2264434617412,-0.07546039182793687
173.7800828749374,-0.07668204820838836
251.1886431509578,-0.07923409094046588
363.0780547701011,-0.08456446392817828
524.8074602497721,-0.09569426615258685
758.5775750291831,-0.1189175414636996
1096.478196143184,-0.1673066426513181
1584.893192461112,-0.2678379456300548
2290.867652767771,-0.4754426585355998
3311.311214825907,-0.8989436478949657
4786.300923226378,-1.742226079476095
6918.309709189358,-3.347260163627435
9999.999999999989,-6.177456075709824
14454.39770745926,-10.64571934238736
20892.96130854037,-16.84446199419934
30199.51720402012,-24.48346347885778
43651.58322401653,-33.13449122198934
63095.73444801923,-42.50731533353612
91201.08393559082,-52.65021731947692
131825.6738556405,-64.42238707235391
190546.0717963244,-77.27090906311743
275422.8703338162,-74.28195038725309
398107.1705534965,-73.84338521263722
575439.9373371558,-75.56617076742859
831763.7711026693,-78.70994173219141
1202264.43461741,-83.09631669964577
1737800.828749372,-88.6549274078064
2511886.431509574,-95.13163458373977
3630780.547701005,-101.9680834702528
5248074.602497714,-108.4347881766351
7585775.75029182,-113.8815422513762
10964781.96143182,-117.952663236888
15848931.9246111,-120.6570241410216
22908676.52767767,-122.2694342448312
33113112.14825903,-123.1506829931277
47863009.23226371,-123.6043253800273
69183097.09189346,-123.8293702606137
100000000,-123.938131873537
