IT("/I69/V5/PLUS") X,IT("/I69/V5/PLUS") Y
0,1.302956768033139e-07
1e-09,1.302956768030743e-07
3e-09,1.302956768030945e-07
7.000000000000001e-09,1.302956768031522e-07
1.5e-08,1.302956768032469e-07
3.1e-08,1.302956768032685e-07
6.3e-08,1.30295676803152e-07
1.27e-07,1.302956768029072e-07
2.55e-07,1.302956768026892e-07
5.110000000000001e-07,1.302956768026386e-07
1.023e-06,1.302956768026804e-07
2.047e-06,1.302956768026973e-07
4.095000000000001e-06,1.302956768026779e-07
8.191e-06,1.302956768026572e-07
1.6383e-05,1.302956768026146e-07
3.276699999999999e-05,1.302956768025671e-07
6.553499999999997e-05,1.302956768026699e-07
0.0001310709999999999,1.302956768028417e-07
0.0002621429999999998,1.302956768026801e-07
0.0005242869999999996,1.302956768026459e-07
0.0008742869999999996,1.302956768027031e-07
0.001224287,1.302956768026906e-07
0.001574287,1.302956768027044e-07
0.001924287,1.302956768026639e-07
0.002274287,1.302956768027794e-07
0.002624287,1.302956768025523e-07
0.002974287,1.302956768027907e-07
0.003324287,1.302956768026663e-07
0.003674287,1.302956768026421e-07
0.004,1.302956768027856e-07
0.004000000000001301,1.302967297867665e-07
0.004000000000003903,1.302974954174714e-07
0.004000000000004909,1.302977355901578e-07
0.004000000000010086,1.302987220582024e-07
0.004000000000015262,1.302996073205141e-07
0.00400000000001612,1.302997621424588e-07
0.004000000000017131,1.30299903816045e-07
0.004000000000019154,1.303002561174697e-07
0.004000000000021914,1.303006871502163e-07
0.004000000000023734,1.303009514591079e-07
0.004000000000024748,1.303011354324635e-07
0.004000000000026776,1.303014334653273e-07
0.004000000000027553,1.303015406879888e-07
0.004000000000029428,1.303018180438584e-07
0.004000000000030282,1.30301973936387e-07
0.004000000000038227,1.303030609558745e-07
0.004000000000040479,1.303033698967503e-07
0.004000000000041783,1.303035386740797e-07
0.00400000000004439,1.303038998763416e-07
0.004000000000046156,1.303041272539733e-07
0.004000000000055298,1.303052432988502e-07
0.004000000000058625,1.303056355945499e-07
0.004000000000060808,1.303058895084413e-07
0.004000000000065175,1.303063971088647e-07
0.004000000000071253,1.303070557270869e-07
0.004000000000079128,1.303078563662733e-07
0.004000000000087687,1.303086610769595e-07
0.004000000000094228,1.30309236776319e-07
0.004000000000102875,1.303099023215883e-07
0.004000000000105768,1.303101137333314e-07
0.004000000000109057,1.303103589853513e-07
0.004000000000115293,1.303107845520704e-07
0.004000000000124512,1.30311384084549e-07
0.004000000000126632,1.30311514924559e-07
0.004000000000130874,1.303117497670451e-07
0.004000000000136683,1.303120659935067e-07
0.004000000000142214,1.303123613299203e-07
0.004000000000149913,1.303127062135706e-07
0.004000000000154351,1.303129002192643e-07
0.004000000000155619,1.303129596580815e-07
0.004000000000158155,1.303130775085661e-07
0.004000000000161845,1.303132141155668e-07
0.004000000000166658,1.303133979789839e-07
0.004000000000173188,1.303136314590758e-07
0.004000000000180379,1.303138690347432e-07
0.004000000000194685,1.303142845077302e-07
0.004000000000199956,1.303144273773488e-07
0.004000000000201471,1.303144880073794e-07
0.0040000000002045,1.303145552207109e-07
0.004000000000210557,1.30314706159303e-07
0.004000000000216692,1.30314854044764e-07
0.004000000000228962,1.303151248283359e-07
0.004000000000238938,1.303153240892279e-07
0.004000000000242741,1.303153963371773e-07
0.004000000000250346,1.303155219629266e-07
0.004000000000260982,1.303157073696191e-07
0.004000000000272658,1.303158793387088e-07
0.004000000000290129,1.30316119024811e-07
0.004000000000302955,1.303162739684456e-07
0.004000000000308182,1.303163360794651e-07
0.004000000000318635,1.303164567848241e-07
0.004000000000330933,1.303165805589235e-07
0.004000000000333835,1.303166062341436e-07
0.004000000000339637,1.303166575612856e-07
0.004000000000351243,1.303167669588609e-07
0.004000000000359679,1.303168351041593e-07
0.004000000000370724,1.303169270703007e-07
0.004000000000382702,1.303170173483357e-07
0.004000000000394482,1.303171018830849e-07
0.004000000000395515,1.303171100023774e-07
0.004000000000399647,1.303171462697846e-07
0.004000000000401354,1.303171715248805e-07
0.004000000000404768,1.303171861516967e-07
0.004000000000406475,1.303171649802778e-07
0.004000000000409889,1.303172101785897e-07
0.004000000000414803,1.303172299383844e-07
0.004000000000421144,1.303172706544854e-07
0.004000000000446509,1.303174218779582e-07
0.004000000000449104,1.303174365692012e-07
0.004000000000469858,1.303175385614516e-07
0.004000000000473476,1.303175629804648e-07
