IT("/I69/V2/PLUS") X,IT("/I69/V2/PLUS") Y
0,1.273555466020833e-09
1e-09,1.273555466015632e-09
3e-09,1.273555466019557e-09
7.000000000000001e-09,1.273555466018156e-09
1.5e-08,1.273555466021747e-09
3.1e-08,1.273555466019599e-09
6.3e-08,1.27355546602195e-09
1.27e-07,1.273555466019128e-09
2.55e-07,1.273555466019584e-09
5.110000000000001e-07,1.273555466016962e-09
1.023e-06,1.273555466016561e-09
2.047e-06,1.273555466017795e-09
4.095000000000001e-06,1.273555466019067e-09
8.191e-06,1.273555466016122e-09
1.6383e-05,1.273555466014418e-09
3.276699999999999e-05,1.273555466018022e-09
6.553499999999997e-05,1.27355546602623e-09
0.0001310709999999999,1.273555466027498e-09
0.0002621429999999998,1.273555466017484e-09
0.0005242869999999996,1.273555466019449e-09
0.0008742869999999996,1.273555466021119e-09
0.001224287,1.273555466022602e-09
0.001574287,1.273555466022542e-09
0.001924287,1.273555466019628e-09
0.002274287,1.273555466024651e-09
0.002624287,1.273555466019172e-09
0.002974287,1.273555466024156e-09
0.003324287,1.273555466020037e-09
0.003674287,1.273555466019603e-09
0.004,1.273555466024083e-09
0.004000000000001301,1.274873502898227e-09
0.004000000000003903,1.275574022242688e-09
0.004000000000004909,1.275779749320142e-09
0.004000000000010086,1.27651079060128e-09
0.004000000000015262,1.277135723682025e-09
0.00400000000001612,1.277236151558451e-09
0.004000000000017131,1.27736033201757e-09
0.004000000000019154,1.277576643874372e-09
0.004000000000021914,1.277842879423971e-09
0.004000000000023734,1.278012158977021e-09
0.004000000000024748,1.278095376931561e-09
0.004000000000026776,1.278277139089885e-09
0.004000000000027553,1.278335028195983e-09
0.004000000000029428,1.278511488253663e-09
0.004000000000030282,1.27858464963395e-09
0.004000000000038227,1.279078535199924e-09
0.004000000000040479,1.279213929700177e-09
0.004000000000041783,1.279286180279859e-09
0.00400000000004439,1.279431138576698e-09
0.004000000000046156,1.279526661004165e-09
0.004000000000055298,1.279925478552724e-09
0.004000000000058625,1.280059718216021e-09
0.004000000000060808,1.280146200253046e-09
0.004000000000065175,1.280307824356057e-09
0.004000000000071253,1.280498427240736e-09
0.004000000000079128,1.280724856334796e-09
0.004000000000087687,1.280927363888999e-09
0.004000000000094228,1.281060505169309e-09
0.004000000000102875,1.281195989470723e-09
0.004000000000105768,1.281240953390274e-09
0.004000000000109057,1.281293690905925e-09
0.004000000000115293,1.281374272336948e-09
0.004000000000124512,1.281473798222326e-09
0.004000000000126632,1.281499187310478e-09
0.004000000000130874,1.281546843624479e-09
0.004000000000136683,1.281589258627609e-09
0.004000000000142214,1.281633656561124e-09
0.004000000000149913,1.281687143951022e-09
0.004000000000154351,1.281714937932239e-09
0.004000000000155619,1.281718620473711e-09
0.004000000000158155,1.28173445828521e-09
0.004000000000161845,1.281747404336969e-09
0.004000000000166658,1.281781789139844e-09
0.004000000000173188,1.281808983916399e-09
0.004000000000180379,1.281834073983348e-09
0.004000000000194685,1.281871089943393e-09
0.004000000000199956,1.2818899346497e-09
0.004000000000201471,1.281892108973911e-09
0.0040000000002045,1.281915550652142e-09
0.004000000000210557,1.281912745745011e-09
0.004000000000216692,1.281916549063755e-09
0.004000000000228962,1.281931490281504e-09
0.004000000000238938,1.281940722606834e-09
0.004000000000242741,1.28193960374398e-09
0.004000000000250346,1.281943401467981e-09
0.004000000000260982,1.281932990603519e-09
0.004000000000272658,1.281933298708766e-09
0.004000000000290129,1.281909874019789e-09
0.004000000000302955,1.281890329417174e-09
0.004000000000308182,1.281876729156924e-09
0.004000000000318635,1.28186602930602e-09
0.004000000000330933,1.28183859194843e-09
0.004000000000333835,1.281832738661541e-09
0.004000000000339637,1.281817673302085e-09
0.004000000000351243,1.281773562661281e-09
0.004000000000359679,1.281754688175397e-09
0.004000000000370724,1.281720556785647e-09
0.004000000000382702,1.281683741036787e-09
0.004000000000394482,1.281649212665907e-09
0.004000000000395515,1.281641417202573e-09
0.004000000000399647,1.28163110810528e-09
0.004000000000401354,1.281607321953401e-09
0.004000000000404768,1.281608585222925e-09
0.004000000000406475,1.281606229586005e-09
0.004000000000409889,1.28159719125157e-09
0.004000000000414803,1.281569526040682e-09
0.004000000000421144,1.281560127620523e-09
0.004000000000446509,1.281462165435094e-09
0.004000000000449104,1.281455790497918e-09
0.004000000000469858,1.281378682647902e-09
0.004000000000473476,1.281364460908817e-09
0.004000000000480711,1.281338141391295e-09
0.004000000000493637,1.281287010903503e-09
0.004000000000508556,1.281237685211252e-09
0.004000000000530315,1.281159503486826e-09
0.004000000000560463,1.281051319936171e-09
0.004000000000585775,1.280965820603636e-09
0.0040000000006178,1.280858624008431e-09
0.004000000000654133,1.280748270951914e-09
0.004000000000665886,1.280713713067859e-09
0.004000000000671762,1.28069430394568e-09
0.004000000000683515,1.280663435217764e-09
0.004000000000703231,1.28060800084098e-09
0.004000000000721727,1.280561221558749e-09
0.004000000000739692,1.280511812183418e-09
0.004000000000760708,1.280460004675327e-09
0.004000000000767265,1.280445873652725e-09
0.004000000000780378,1.280415737132085e-09
0.004000000000781968,1.280398800814382e-09
0.00400000000078515,1.280398695814769e-09
0.004000000000791513,1.280386063117707e-09
0.004000000000801545,1.280366242455009e-09
0.004000000000812225,1.280344300500406e-09
0.004000000000831205,1.280302360081703e-09
0.004000000000863623,1.280237139408726e-09
0.004000000000921167,1.280127659988749e-09
0.004000000000972183,1.280039110169779e-09
0.00400000000102622,1.279952874414736e-09
0.004000000001085741,1.279865940442944e-09
0.004000000001150979,1.279777677220198e-09
0.004000000001231942,1.279677613324354e-09
0.004000000001323718,1.279576190937537e-09
0.004000000001451474,1.27945236531137e-09
0.004000000001582296,1.279343704283514e-09
0.004000000001726308,1.279240642447329e-09
0.004000000001875722,1.279149523050687e-09
0.004000000002030595,1.279068909133197e-09
0.004000000002198943,1.278993847657811e-09
0.004000000002384826,1.278923323644943e-09
0.004000000002591119,1.278857285911866e-09
0.004000000002824356,1.278794670053824e-09
0.004000000003074791,1.278738560390856e-09
0.004000000003360325,1.278684633482129e-09
0.004000000003662131,1.278636916014576e-09
0.004000000003987095,1.278593077537032e-09
0.004000000004350259,1.278550926821761e-09
0.004000000004753286,1.278509740301252e-09
0.004000000005254431,1.278464238716525e-09
0.004000000005829528,1.278417034292992e-09
0.004000000006506359,1.278365793430344e-09
0.00400000000728244,1.278310733197474e-09
0.004000000008205221,1.278248659720176e-09
0.004000000009341597,1.278176066583022e-09
0.004000000011043578,1.278073238402782e-09
0.004000000013370427,1.277942020464584e-09
0.004000000016127854,1.277798235695865e-09
0.004000000019830354,1.277621506096379e-09
0.004000000024010356,1.277440779509281e-09
0.004000000028668152,1.277259110972939e-09
0.004000000033999293,1.277072677937206e-09
0.004000000039918787,1.276888482809016e-09
0.004000000046573451,1.276705502267081e-09
0.004000000053728471,1.276532618135983e-09
0.00400000006150017,1.276368028839916e-09
0.00400000006982437,1.276213758629108e-09
0.004000000078742456,1.276069045740437e-09
0.004000000088362187,1.275932180108836e-09
0.004000000098801216,1.275801681427023e-09
0.004000000110120154,1.275676985978905e-09
0.004000000122544507,1.275555892744795e-09
0.004000000136183727,1.275437800432571e-09
0.0040000001513818,1.275320408983265e-09
0.004000000168282549,1.275203515999522e-09
0.004000000187369336,1.275084992845778e-09
0.004000000209115391,1.274963715242388e-09
0.004000000234044373,1.274839145382817e-09
0.004000000262775309,1.274711229826685e-09
0.004000000296013969,1.274580615680027e-09
0.004000000334329337,1.274449448609759e-09
0.004000000377679763,1.274322129082642e-09
0.004000000426012504,1.27420227539905e-09
0.004000000478801224,1.274093447169884e-09
0.004000000535744061,1.273997216958279e-09
0.004000000596978543,1.273913530205233e-09
0.004000000662917351,1.273841670111719e-09
0.004000000734148506,1.273780713884087e-09
0.004000000811562439,1.273729594077618e-09
0.004000000896159811,1.273687350089639e-09
0.004000000989047588,1.273653081279533e-09
0.004000001091683161,1.27362585201425e-09
0.004000001205743835,1.273604764149273e-09
0.004000001333194878,1.273588933629696e-09
0.004000001476444779,1.273577476277374e-09
0.004000001638351363,1.273569541516788e-09
0.004000001822342787,1.273564326020079e-09
0.004000002032328715,1.273561108076644e-09
0.00400000227290433,1.273559267314295e-09
0.004000002541540862,1.273558332172743e-09
0.004000002827092574,1.273557927075812e-09
0.004000003135793822,1.273557779077649e-09
0.004000003475712717,1.273557760160156e-09
0.00400000385690708,1.273557815405119e-09
0.004000004293237489,1.273557923909372e-09
0.004000004802933647,1.273558078882599e-09
0.004000005412412609,1.273558278157518e-09
0.004000006162695924,1.273558521727725e-09
0.0040000071236283,1.273558812129454e-09
0.004000008427724196,1.273559157718139e-09
0.004000010380360548,1.273559580932839e-09
0.004000012642714846,1.273559959712208e-09
0.004000014947889746,1.273560253624361e-09
0.004000017413545378,1.273560494270203e-09
0.004000020097341505,1.273560695519632e-09
0.004000023065341031,1.273560867890132e-09
0.004000026399448707,1.273561019931439e-09
0.004000030178686192,1.273561158250634e-09
0.004000034491206809,1.273561288620499e-09
0.004000039430497974,1.273561415808117e-09
0.004000045079177066,1.273561543149108e-09
0.004000051478937724,1.273561671734023e-09
0.004000058599490772,1.273561800276081e-09
0.00400006634216866,1.273561925951012e-09
0.004000074587947442,1.273562045890916e-09
0.004000083248412568,1.273562158246242e-09
0.004000092283297842,1.273562262300776e-09
0.004000101691934865,1.273562358060444e-09
0.004000111497873765,1.273562445858987e-09
0.004000121736540984,1.273562526077703e-09
0.004000132448418161,1.273562599096637e-09
0.004000143676726263,1.273562665253323e-09
0.004000155468066854,1.273562724842613e-09
0.004000167874240229,1.273562778145468e-09
0.004000180954484007,1.273562825433975e-09
0.004000194777473548,1.273562866994746e-09
0.004000209423862785,1.273562903096278e-09
0.004000224988691148,1.273562934031056e-09
0.004000241585186076,1.273562960084432e-09
0.004000259348567452,1.273562981545041e-09
0.004000278442654621,1.273562998724483e-09
0.004000299067284318,1.273563011942254e-09
0.00400032146962958,1.273563021522847e-09
0.004000345959606885,1.273563027829686e-09
0.004000372932045161,1.273563031253797e-09
0.004000402899452219,1.273563032224501e-09
0.004000436541282342,1.273563031251463e-09
0.004000474781936218,1.273563028932203e-09
0.004000518917003168,1.273563026009468e-09
0.004000570830338794,1.273563023462222e-09
0.004000633386829338,1.273563022628096e-09
0.004000711199434792,1.273563025483252e-09
0.004000812269909093,1.273563035142021e-09
0.004000951982328747,1.273563057059725e-09
0.004001164855847587,1.273563102345168e-09
0.004001553174708144,1.273563200673246e-09
0.004002329812429259,1.273563407417802e-09
0.004003597364534318,1.273563689981639e-09
0.00400404262915816,1.273563759337683e-09
0.004004365508891206,1.273563743737406e-09
0.004004573075728631,1.273563709503469e-09
0.004004757859096477,1.273563656481256e-09
0.004004857615326142,1.273563614722881e-09
0.004004942461739974,1.273563580235945e-09
0.004005009666291888,1.273563548905091e-09
0.004005082280881283,1.273563516049613e-09
0.004005162855314694,1.273563482755931e-09
0.004005231884132288,1.273563462915184e-09
0.004005289383721891,1.273563454695527e-09
0.004005349389464702,1.27356345240785e-09
0.004005430001501819,1.273563464096176e-09
0.004005507614456251,1.27356349863062e-09
0.004005595408953299,1.273563557674322e-09
0.004005661922298693,1.273563619727963e-09
0.004005722789856899,1.273563681949357e-09
0.004005773989086274,1.273563740912545e-09
0.004005821480119919,1.273563798589462e-09
0.004005869824236128,1.273563859560831e-09
0.004005920061717463,1.273563924203424e-09
0.004005973630513958,1.273563993114957e-09
0.004006031692788624,1.273564066608533e-09
0.00400609563917866,1.273564144836772e-09
0.004006168974181675,1.273564229681702e-09
0.004006261479953896,1.273564327766375e-09
0.004006369880342479,1.273564429363173e-09
0.004006471458998891,1.273564512121686e-09
0.004006554487557721,1.273564571514244e-09
0.00400663219921574,1.273564620856242e-09
0.004006711170444892,1.27356466577704e-09
0.0040067927256821,1.273564707519988e-09
0.004006878068477086,1.273564747028328e-09
0.00400696869006437,1.273564785231611e-09
0.004007066118920703,1.273564822922916e-09
0.004007172161448909,1.273564860883362e-09
0.00400728915768937,1.273564899976644e-09
0.00400742027207308,1.273564941177031e-09
0.004007569969946711,1.273564985677396e-09
0.004007744836038613,1.273565034971136e-09
0.004007955123795294,1.273565091045389e-09
0.004008217965808363,1.273565156635258e-09
0.004008564911994654,1.273565235636144e-09
0.004009063158995494,1.273565333313227e-09
0.004009531579497747,1.27356540728623e-09
0.004009765789748873,1.273565437780653e-09
0.00401,1.273565462853625e-09
0.004010000000121747,1.269659839177375e-09
0.0040100000001324,1.269441221652083e-09
0.00401000000014815,1.269221856460185e-09
0.00401000000015099,1.269182621480531e-09
0.004010000000154194,1.269153606740879e-09
0.004010000000159449,1.269095205563463e-09
0.004010000000165301,1.269034981861664e-09
0.004010000000175568,1.268965685728065e-09
0.004010000000182841,1.268924488643985e-09
0.004010000000191341,1.268884812685076e-09
0.004010000000204154,1.268848849607256e-09
0.004010000000215367,1.268832495660805e-09
0.004010000000230301,1.268817064430621e-09
0.004010000000245255,1.26882270486412e-09
0.004010000000254347,1.268824486285563e-09
0.004010000000268112,1.268832976964569e-09
0.004010000000269418,1.26883794373921e-09
0.00401000000027203,1.268845450022661e-09
0.004010000000277255,1.268828554102464e-09
0.004010000000284755,1.268858239701252e-09
0.004010000000297813,1.268866951660356e-09
0.004010000000312728,1.268885251529178e-09
0.004010000000314401,1.268887040445977e-09
0.004010000000321094,1.268894030440825e-09
0.004010000000329569,1.26890903905373e-09
0.004010000000337416,1.268917460636437e-09
0.004010000000347871,1.268938765381712e-09
0.004010000000363087,1.268960960190069e-09
0.004010000000368265,1.268973585708467e-09
0.004010000000378621,1.268989858954479e-09
0.004010000000393134,1.269015050171882e-09
0.004010000000403749,1.269036376944563e-09
0.00401000000041949,1.269064366254531e-09
0.004010000000434518,1.269094861535232e-09
0.004010000000457307,1.269140179867667e-09
0.004010000000462195,1.269143514673503e-09
0.004010000000464639,1.269159708170623e-09
0.004010000000469528,1.269166383167452e-09
0.004010000000474224,1.26917320449741e-09
0.004010000000479038,1.269183390121541e-09
0.004010000000488668,1.269203830244203e-09
0.004010000000498392,1.269220579430736e-09
0.004010000000523864,1.269268402094556e-09
0.004010000000544074,1.269305893459841e-09
0.004010000000570869,1.269354546795133e-09
0.004010000000582933,1.269375629231487e-09
0.004010000000598699,1.269402142487094e-09
0.00401000000062373,1.269443265067396e-09
0.004010000000656933,1.269498831495186e-09
0.004010000000657814,1.269494585505067e-09
0.004010000000659575,1.269502389865581e-09
0.004010000000663096,1.269510461830246e-09
0.00401000000066734,1.269518786816939e-09
0.004010000000673808,1.269524292327621e-09
0.004010000000681727,1.269540352942526e-09
0.004010000000684049,1.269537814965309e-09
0.004010000000688693,1.269543129782453e-09
0.004010000000694032,1.26955245107232e-09
0.004010000000699826,1.26956268777526e-09
0.004010000000710703,1.269579960247344e-09
0.004010000000728726,1.269602665301305e-09
0.004010000000759644,1.269644240157243e-09
0.004010000000779665,1.269670293547237e-09
0.004010000000800948,1.269698045217382e-09
0.00401000000081066,1.269710135282689e-09
0.004010000000830084,1.26973183936503e-09
0.0040100000008526,1.269755179663787e-09
0.004010000000874506,1.269781321723643e-09
0.004010000000904975,1.269812653604026e-09
0.004010000000934121,1.269842221163573e-09
0.004010000000977168,1.269883220490576e-09
0.004010000001021728,1.269922307484085e-09
0.004010000001059127,1.269954847995445e-09
0.004010000001115137,1.269998156933531e-09
0.004010000001179155,1.270046756083469e-09
0.004010000001261288,1.270100735509626e-09
0.004010000001324316,1.270140417576711e-09
0.004010000001386356,1.27017480663796e-09
0.004010000001458475,1.270212295079784e-09
0.004010000001587655,1.270272705822285e-09
0.004010000001681966,1.270312025683725e-09
0.004010000001774667,1.270345451151111e-09
0.004010000001901546,1.270387237912143e-09
0.004010000002049041,1.270429575375224e-09
0.004010000002181309,1.270462827488904e-09
0.004010000002367889,1.270502555861403e-09
0.004010000002611074,1.270546518576714e-09
0.004010000002884797,1.270586417552376e-09
0.004010000003200844,1.270623837094747e-09
0.004010000003580937,1.270660033487174e-09
0.00401000000397162,1.270690129986501e-09
0.004010000004423146,1.270719227377151e-09
0.004010000004951432,1.270748594386481e-09
0.004010000005622209,1.270781025791959e-09
0.004010000006355392,1.270812969206911e-09
0.004010000007309305,1.270851407212006e-09
0.004010000008446552,1.270894441070961e-09
0.004010000009938132,1.270947535600056e-09
0.004010000012147462,1.27102089324561e-09
0.00401000001531424,1.271117262468792e-09
0.004010000019319358,1.271227221348119e-09
