net021 X,net021 Y,net020 X,net020 Y
0,2.094973159180207e-08,0,2.094973158259999e-08
1e-09,2.09497315317671e-08,1e-09,2.094973151409722e-08
3e-09,2.094973135817293e-08,3e-09,2.09497315479575e-08
7.000000000000001e-09,2.094973164000077e-08,7.000000000000001e-09,2.094973157066284e-08
1.5e-08,2.09497315215789e-08,1.5e-08,2.094973138231354e-08
3.1e-08,2.094973164817613e-08,3.1e-08,2.094973136476729e-08
6.3e-08,2.094973150463583e-08,6.3e-08,2.094973158943564e-08
1.27e-07,2.094973159895e-08,1.27e-07,2.094973145198504e-08
2.55e-07,2.094973146259968e-08,2.55e-07,2.094973147001022e-08
5.110000000000001e-07,2.094973140811132e-08,5.110000000000001e-07,2.094973149788195e-08
1.023e-06,2.094973144451567e-08,1.023e-06,2.094973146511664e-08
2.047e-06,2.094973159588804e-08,2.047e-06,2.094973166581504e-08
4.095000000000001e-06,2.094973148551126e-08,4.095000000000001e-06,2.094973150616997e-08
8.191e-06,2.094973135465088e-08,8.191e-06,2.094973158140156e-08
1.6383e-05,2.094973139761956e-08,1.6383e-05,2.094973145790985e-08
3.276699999999999e-05,2.094973152473554e-08,3.276699999999999e-05,2.094973140862476e-08
6.553499999999997e-05,2.094973166451434e-08,6.553499999999997e-05,2.094973137239035e-08
0.0001310709999999999,2.094973142941055e-08,0.0001310709999999999,2.094973149468537e-08
0.0002621429999999998,2.094973154184507e-08,0.0002621429999999998,2.094973134065341e-08
0.0005242869999999996,2.094973157167304e-08,0.0005242869999999996,2.094973140539093e-08
0.0008742869999999996,2.094973137399571e-08,0.0008742869999999996,2.094973131136115e-08
0.001224287,2.094973152192519e-08,0.001224287,2.094973140578804e-08
0.001574287,2.094973151160999e-08,0.001574287,2.094973140946495e-08
0.001924287,2.09497315132444e-08,0.001924287,2.094973149258646e-08
0.002274287,2.094973147237745e-08,0.002274287,2.094973137605679e-08
0.002624287,2.094973155910428e-08,0.002624287,2.094973145461646e-08
0.002974287,2.094973149428227e-08,0.002974287,2.094973144912315e-08
0.003324287,2.094973144807497e-08,0.003324287,2.094973130509564e-08
0.003674287,2.094973159063532e-08,0.003674287,2.09497314173322e-08
0.004,2.094973138902791e-08,0.004,2.094973147278403e-08
0.004000000000001301,2.095143301511233e-08,0.004000000000001301,2.095156397060627e-08
0.004000000000003903,2.09558559175078e-08,0.004000000000003903,2.095662002187688e-08
0.004000000000004909,2.095762888724428e-08,0.004000000000004909,2.095868117371169e-08
0.004000000000010086,2.096674287279556e-08,0.004000000000010086,2.096973328237323e-08
0.004000000000015262,2.097552891856643e-08,0.004000000000015262,2.098061054683735e-08
0.00400000000001612,2.097697439641691e-08,0.00400000000001612,2.098240659422627e-08
0.004000000000017131,2.097866435177968e-08,0.004000000000017131,2.098451271756721e-08
0.004000000000019154,2.098198378604665e-08,0.004000000000019154,2.098866631147579e-08
0.004000000000021914,2.098640337584844e-08,0.004000000000021914,2.099422202698468e-08
0.004000000000023734,2.098926993137747e-08,0.004000000000023734,2.099783622063802e-08
0.004000000000024748,2.099085512914296e-08,0.004000000000024748,2.099983591016152e-08
0.004000000000026776,2.099397139325463e-08,0.004000000000026776,2.100377659712886e-08
0.004000000000027553,2.099515999956887e-08,0.004000000000027553,2.100527965136875e-08
0.004000000000029428,2.099798669342435e-08,0.004000000000029428,2.10088594981648e-08
0.004000000000030282,2.099926568951694e-08,0.004000000000030282,2.101048100879489e-08
0.004000000000038227,2.101065202713272e-08,0.004000000000038227,2.102496691420969e-08
0.004000000000040479,2.101384158055983e-08,0.004000000000040479,2.102902832124375e-08
0.004000000000041783,2.101567694711804e-08,0.004000000000041783,2.103136720606987e-08
0.00400000000004439,2.101930535323346e-08,0.00400000000004439,2.103599377549438e-08
0.004000000000046156,2.102174453172246e-08,0.004000000000046156,2.103910474628549e-08
0.004000000000055298,2.103400168852271e-08,0.004000000000055298,2.105476084609289e-08
0.004000000000058625,2.103842069819884e-08,0.004000000000058625,2.106040706663935e-08
0.004000000000060808,2.104130009071471e-08,0.004000000000060808,2.10640877269369e-08
0.004000000000065175,2.104702038656231e-08,0.004000000000065175,2.107139788436976e-08
0.004000000000071253,2.105487642274951e-08,0.004000000000071253,2.10814403038505e-08
0.004000000000079128,2.10648814530549e-08,0.004000000000079128,2.109422928333997e-08
0.004000000000087687,2.107553625143088e-08,0.004000000000087687,2.11078435109418e-08
0.004000000000094228,2.108353336325115e-08,0.004000000000094228,2.111805660684456e-08
0.004000000000102875,2.109381795636186e-08,0.004000000000102875,2.113116967088693e-08
0.004000000000105768,2.109723456990978e-08,0.004000000000105768,2.113552403959264e-08
0.004000000000109057,2.1101101963119e-08,0.004000000000109057,2.114045057498414e-08
0.004000000000115293,2.110836485658362e-08,0.004000000000115293,2.114969531682048e-08
0.004000000000124512,2.111891734463073e-08,0.004000000000124512,2.116311043939969e-08
0.004000000000126632,2.112131132587153e-08,0.004000000000126632,2.116615127656395e-08
0.004000000000130874,2.112606099158189e-08,0.004000000000130874,2.117217963427929e-08
0.004000000000136683,2.113249161158677e-08,0.004000000000136683,2.118033423139123e-08
0.004000000000142214,2.113854950452605e-08,0.004000000000142214,2.118800595798812e-08
0.004000000000149913,2.114680223261012e-08,0.004000000000149913,2.119843376920889e-08
0.004000000000154351,2.115151360533932e-08,0.004000000000154351,2.120438340417137e-08
0.004000000000155619,2.115285513038029e-08,0.004000000000155619,2.120607741966133e-08
0.004000000000158155,2.115552239701133e-08,0.004000000000158155,2.12094438789431e-08
