IT("/I72/PLUS") X,IT("/I72/PLUS") Y
0,9.999999999999999e-12
1e-09,9.999999999999999e-12
3e-09,9.999999999999999e-12
7.000000000000001e-09,9.999999999999999e-12
1.5e-08,9.999999999999999e-12
3.1e-08,9.999999999999999e-12
6.3e-08,9.999999999999999e-12
1.27e-07,9.999999999999999e-12
2.55e-07,9.999999999999999e-12
5.110000000000001e-07,9.999999999999999e-12
1.023e-06,9.999999999999999e-12
2.047e-06,9.999999999999999e-12
4.095000000000001e-06,9.999999999999999e-12
8.191e-06,9.999999999999999e-12
1.6383e-05,9.999999999999999e-12
3.276699999999999e-05,9.999999999999999e-12
6.553499999999997e-05,9.999999999999999e-12
0.0001310709999999999,9.999999999999999e-12
0.0002621429999999998,9.999999999999999e-12
0.0005242869999999996,9.999999999999999e-12
0.0008742869999999996,9.999999999999999e-12
0.001224287,9.999999999999999e-12
0.001574287,9.999999999999999e-12
0.001924287,9.999999999999999e-12
0.002274287,9.999999999999999e-12
0.002624287,9.999999999999999e-12
0.002974287,9.999999999999999e-12
0.003324287,9.999999999999999e-12
0.003674287,9.999999999999999e-12
0.004,9.999999999999999e-12
0.004000000000001301,9.999999999999999e-12
0.004000000000003903,9.999999999999999e-12
0.004000000000004909,9.999999999999999e-12
0.004000000000010086,9.999999999999999e-12
0.004000000000015262,9.999999999999999e-12
0.00400000000001612,9.999999999999999e-12
0.004000000000017131,9.999999999999999e-12
0.004000000000019154,9.999999999999999e-12
0.004000000000021914,9.999999999999999e-12
0.004000000000023734,9.999999999999999e-12
0.004000000000024748,9.999999999999999e-12
0.004000000000026776,9.999999999999999e-12
0.004000000000027553,9.999999999999999e-12
0.004000000000029428,9.999999999999999e-12
0.004000000000030282,9.999999999999999e-12
0.004000000000038227,9.999999999999999e-12
0.004000000000040479,9.999999999999999e-12
0.004000000000041783,9.999999999999999e-12
0.00400000000004439,9.999999999999999e-12
0.004000000000046156,9.999999999999999e-12
0.004000000000055298,9.999999999999999e-12
0.004000000000058625,9.999999999999999e-12
0.004000000000060808,9.999999999999999e-12
0.004000000000065175,9.999999999999999e-12
0.004000000000071253,9.999999999999999e-12
0.004000000000079128,9.999999999999999e-12
0.004000000000087687,9.999999999999999e-12
0.004000000000094228,9.999999999999999e-12
0.004000000000102875,9.999999999999999e-12
0.004000000000105768,9.999999999999999e-12
0.004000000000109057,9.999999999999999e-12
0.004000000000115293,9.999999999999999e-12
0.004000000000124512,9.999999999999999e-12
0.004000000000126632,9.999999999999999e-12
0.004000000000130874,9.999999999999999e-12
0.004000000000136683,9.999999999999999e-12
0.004000000000142214,9.999999999999999e-12
0.004000000000149913,9.999999999999999e-12
0.004000000000154351,9.999999999999999e-12
0.004000000000155619,9.999999999999999e-12
0.004000000000158155,9.999999999999999e-12
0.004000000000161845,9.999999999999999e-12
0.004000000000166658,9.999999999999999e-12
0.004000000000173188,9.999999999999999e-12
0.004000000000180379,9.999999999999999e-12
0.004000000000194685,9.999999999999999e-12
