IT("/I69/V3/PLUS") X,IT("/I69/V3/PLUS") Y
0,2.022603152478704e-09
1e-09,2.022603152477038e-09
3e-09,2.022603152477795e-09
7.000000000000001e-09,2.022603152478063e-09
1.5e-08,2.022603152477881e-09
3.1e-08,2.022603152478362e-09
6.3e-08,2.022603152482952e-09
1.27e-07,2.022603152486988e-09
2.55e-07,2.022603152490199e-09
5.110000000000001e-07,2.022603152488997e-09
1.023e-06,2.022603152482218e-09
2.047e-06,2.022603152475912e-09
4.095000000000001e-06,2.022603152465124e-09
8.191e-06,2.022603152443697e-09
1.6383e-05,2.022603152394066e-09
3.276699999999999e-05,2.022603152350229e-09
6.553499999999997e-05,2.022603152452543e-09
0.0001310709999999999,2.022603152628188e-09
0.0002621429999999998,2.022603152466053e-09
0.0005242869999999996,2.022603152428966e-09
0.0008742869999999996,2.022603152487508e-09
0.001224287,2.022603152481614e-09
0.001574287,2.022603152488325e-09
0.001924287,2.022603152448162e-09
0.002274287,2.022603152564298e-09
0.002624287,2.022603152341359e-09
0.002974287,2.022603152573546e-09
0.003324287,2.022603152453596e-09
0.003674287,2.022603152426829e-09
0.004,2.022603152572184e-09
0.004000000000001301,2.032847887328318e-09
0.004000000000003903,2.032689066186432e-09
0.004000000000004909,2.032261039248373e-09
0.004000000000010086,2.03029076484752e-09
0.004000000000015262,2.029349493681497e-09
0.00400000000001612,2.029158280040175e-09
0.004000000000017131,2.029042158642568e-09
0.004000000000019154,2.028720826261157e-09
0.004000000000021914,2.028372365171164e-09
0.004000000000023734,2.028076412808901e-09
0.004000000000024748,2.028039180646248e-09
0.004000000000026776,2.027705052535996e-09
0.004000000000027553,2.02785644682694e-09
0.004000000000029428,2.027302218895319e-09
0.004000000000030282,2.027274656317572e-09
0.004000000000038227,2.02657743720267e-09
0.004000000000040479,2.026373737263564e-09
0.004000000000041783,2.026370635286517e-09
0.00400000000004439,2.026101173692596e-09
0.004000000000046156,2.025996536474053e-09
0.004000000000055298,2.025531753140889e-09
0.004000000000058625,2.025413029340453e-09
0.004000000000060808,2.025239396520656e-09
0.004000000000065175,2.025140216360711e-09
0.004000000000071253,2.024805485933647e-09
0.004000000000079128,2.024589763979906e-09
0.004000000000087687,2.024280598881842e-09
0.004000000000094228,2.02416124571169e-09
0.004000000000102875,2.02395886829675e-09
0.004000000000105768,2.023884849727407e-09
0.004000000000109057,2.023884144885383e-09
0.004000000000115293,2.02373379819115e-09
0.004000000000124512,2.023546208072484e-09
0.004000000000126632,2.02343616752739e-09
0.004000000000130874,2.023425473780776e-09
0.004000000000136683,2.023440540537177e-09
0.004000000000142214,2.02342064652506e-09
0.004000000000149913,2.023244635468868e-09
0.004000000000154351,2.023195552820559e-09
0.004000000000155619,2.023019260335497e-09
0.004000000000158155,2.023184340402e-09
0.004000000000161845,2.023131445258967e-09
0.004000000000166658,2.023065922421751e-09
0.004000000000173188,2.023002031732539e-09
0.004000000000180379,2.022945439513903e-09
0.004000000000194685,2.022841363476011e-09
0.004000000000199956,2.022795428796435e-09
0.004000000000201471,2.022932736813838e-09
0.0040000000002045,2.022790148660516e-09
0.004000000000210557,2.02270534595043e-09
0.004000000000216692,2.022674627579947e-09
0.004000000000228962,2.022621857099154e-09
0.004000000000238938,2.022574127533319e-09
0.004000000000242741,2.022499193433545e-09
0.004000000000250346,2.022552551856507e-09
0.004000000000260982,2.022460799430944e-09
0.004000000000272658,2.022459656045787e-09
0.004000000000290129,2.022336580689354e-09
0.004000000000302955,2.022315985654116e-09
0.004000000000308182,2.022347181177504e-09
0.004000000000318635,2.022282436226156e-09
0.004000000000330933,2.022220639552814e-09
0.004000000000333835,2.022223980050889e-09
0.004000000000339637,2.022166813070305e-09
0.004000000000351243,2.022250698532734e-09
0.004000000000359679,2.022185449234998e-09
0.004000000000370724,2.022176910423253e-09
0.004000000000382702,2.022145627455838e-09
0.004000000000394482,2.022148007242273e-09
0.004000000000395515,2.022359118103198e-09
0.004000000000399647,2.022133007654217e-09
0.004000000000401354,2.022060989487787e-09
0.004000000000404768,2.022052044616285e-09
0.004000000000406475,2.022147626160882e-09
0.004000000000409889,2.022174334202407e-09
0.004000000000414803,2.02206246783672e-09
0.004000000000421144,2.022147433881802e-09
0.004000000000446509,2.022119070895981e-09
0.004000000000449104,2.022121644937686e-09
0.004000000000469858,2.02210616961085e-09
0.004000000000473476,2.022121638697033e-09
0.004000000000480711,2.022099545523102e-09
0.004000000000493637,2.022097671238485e-09
0.004000000000508556,2.022106007085025e-09
0.004000000000530315,2.022117087555878e-09
0.004000000000560463,2.022112837950732e-09
0.004000000000585775,2.022133352849522e-09
0.0040000000006178,2.022142579069287e-09
0.004000000000654133,2.022168815474042e-09
0.004000000000665886,2.022169210621e-09
0.004000000000671762,2.022171260726812e-09
0.004000000000683515,2.022192086156461e-09
0.004000000000703231,2.022170986894501e-09
0.004000000000721727,2.022218248260449e-09
0.004000000000739692,2.022199929883875e-09
0.004000000000760708,2.022215034102575e-09
0.004000000000767265,2.022212183115736e-09
0.004000000000780378,2.022226987995586e-09
0.004000000000781968,2.022256737036686e-09
0.00400000000078515,2.022211812454298e-09
0.004000000000791513,2.022200186555912e-09
0.004000000000801545,2.022243180471431e-09
0.004000000000812225,2.022244970133428e-09
0.004000000000831205,2.022247564095222e-09
0.004000000000863623,2.022253307672856e-09
0.004000000000921167,2.022270455401836e-09
0.004000000000972183,2.022283517379097e-09
0.00400000000102622,2.022292915950285e-09
0.004000000001085741,2.022302439677428e-09
0.004000000001150979,2.022309380875377e-09
0.004000000001231942,2.022318956929086e-09
0.004000000001323718,2.022327506691565e-09
0.004000000001451474,2.022339030558454e-09
0.004000000001582296,2.022348039056283e-09
0.004000000001726308,2.022357311645105e-09
0.004000000001875722,2.022365386174412e-09
0.004000000002030595,2.022372248462418e-09
0.004000000002198943,2.022378504146115e-09
0.004000000002384826,2.022384274487805e-09
0.004000000002591119,2.022389221062183e-09
0.004000000002824356,2.022393709145952e-09
0.004000000003074791,2.022397275071393e-09
0.004000000003360325,2.022400106352635e-09
0.004000000003662131,2.022402164354696e-09
0.004000000003987095,2.022403464007744e-09
0.004000000004350259,2.022404213440505e-09
0.004000000004753286,2.022404252495343e-09
0.004000000005254431,2.022403802522472e-09
0.004000000005829528,2.02240272288205e-09
0.004000000006506359,2.02240110432239e-09
0.00400000000728244,2.022398972993581e-09
0.004000000008205221,2.022396368039051e-09
0.004000000009341597,2.022393173599953e-09
0.004000000011043578,2.022388504963068e-09
0.004000000013370427,2.022382522090241e-09
0.004000000016127854,2.022375940282401e-09
0.004000000019830354,2.022367853544541e-09
0.004000000024010356,2.022359585422448e-09
0.004000000028668152,2.022351284177229e-09
0.004000000033999293,2.022342781958575e-09
0.004000000039918787,2.022334407749913e-09
0.004000000046573451,2.022326125548353e-09
0.004000000053728471,2.022318342599947e-09
0.00400000006150017,2.022310982504383e-09
0.00400000006982437,2.022304140558858e-09
0.004000000078742456,2.022297781844578e-09
0.004000000088362187,2.022291833639634e-09
0.004000000098801216,2.02228623526717e-09
0.004000000110120154,2.022280957899615e-09
0.004000000122544507,2.022275915027059e-09
0.004000000136183727,2.0222710783274e-09
0.0040000001513818,2.022266359651443e-09
0.004000000168282549,2.022261754558476e-09
0.004000000187369336,2.022257183286449e-09
0.004000000209115391,2.022252609823765e-09
0.004000000234044373,2.022248031142357e-09
0.004000000262775309,2.022243459095119e-09
0.004000000296013969,2.022238943772624e-09
0.004000000334329337,2.022234589196329e-09
0.004000000377679763,2.022230575282639e-09
0.004000000426012504,2.022227045112969e-09
0.004000000478801224,2.022224127739933e-09
0.004000000535744061,2.022221875554191e-09
0.004000000596978543,2.022220293194283e-09
0.004000000662917351,2.022219370097839e-09
0.004000000734148506,2.022219098852539e-09
0.004000000811562439,2.022219480571204e-09
0.004000000896159811,2.022220532306555e-09
0.004000000989047588,2.022222283275875e-09
0.004000001091683161,2.022224781078461e-09
0.004000001205743835,2.022228089568933e-09
0.004000001333194878,2.022232291572842e-09
0.004000001476444779,2.022237493151237e-09
0.004000001638351363,2.022243824092082e-09
0.004000001822342787,2.022251443046115e-09
0.004000002032328715,2.022260529937392e-09
0.00400000227290433,2.022271292185283e-09
0.004000002541540862,2.022283599679634e-09
0.004000002827092574,2.02229688661968e-09
0.004000003135793822,2.022311375844715e-09
0.004000003475712717,2.022327384241395e-09
0.00400000385690708,2.022345319699623e-09
0.004000004293237489,2.022365753616201e-09
0.004000004802933647,2.022389430867565e-09
0.004000005412412609,2.022417421435818e-09
0.004000006162695924,2.022451366663245e-09
0.0040000071236283,2.022494020506901e-09
0.004000008427724196,2.022550500289337e-09
